pseudo	gene_id	genome	locus_tag	SEED_level_1	SEED_level_2	SEED_level_3	SEED_long_name
	Rmag_R0041	R.phaseoliformis	Rpha_rna_18	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	R.magnifica	Rmag_R0041	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	Bathy	MS2017_R041	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
		R.pliocardia	Rple_rna_37	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	V.extenta	Vext_rna_39	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	V.soyoae2	Vsoy2_rna_12	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	R.pacifica	Rpac_rna_10	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	R.rectimargo	Rrec_rna_18	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	V.diagonalis	Vdia_rna_38	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	R.southwardae	Rsou_rna_27	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	V.gigas2	Vgig2_rna_39	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	V.okutanii	COSY_R0038	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0041	SUP05	SP60_03995	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0040	R.southwardae	Rsou_rna_5				
	Rmag_R0040	V.gigas2	Vgig2_rna_34				
	Rmag_R0040	V.okutanii	COSY_R0037				
	Rmag_R0040	V.extenta	Vext_rna_1				
	Rmag_R0040	V.diagonalis	Vdia_rna_40				
	Rmag_R0040	R.phaseoliformis	Rpha_rna_17				
	Rmag_R0040	R.rectimargo	Rrec_rna_17				
		R.pliocardia	Rple_rna_41				
	Rmag_R0040	R.pacifica	Rpac_rna_40				
	Rmag_R0040	R.magnifica	Rmag_R0040				
	Rmag_R0040	Bathy	MS2017_R002				
	Rmag_R0040	V.soyoae2	Vsoy2_rna_40				
	Rmag_R0040	SUP05	SP60_03530				
	Rmag_R0039	V.gigas2	Vgig2_rna_33	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	SUP05	SP60_03525	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	R.phaseoliformis	Rpha_rna_16	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	R.southwardae	Rsou_rna_6	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	V.diagonalis	Vdia_rna_1	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	Bathy	MS2017_R003	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	R.magnifica	Rmag_R0039	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	R.rectimargo	Rrec_rna_16	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	V.extenta	Vext_rna_2	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	R.pacifica	Rpac_rna_26	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	V.okutanii	COSY_R0036	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0039	V.soyoae2	Vsoy2_rna_11	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
		R.pliocardia	Rple_rna_23	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ile
	Rmag_R0038	R.rectimargo	Rrec_rna_15	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	V.extenta	Vext_rna_3	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	Bathy	MS2017_R004	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	V.gigas2	Vgig2_rna_32	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
		R.pliocardia	Rple_rna_22	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	V.okutanii	COSY_R0035	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	SUP05	SP60_03520	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	R.phaseoliformis	Rpha_rna_15	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	V.soyoae2	Vsoy2_rna_10	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	R.southwardae	Rsou_rna_7	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	R.pacifica	Rpac_rna_25	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	V.diagonalis	Vdia_rna_2	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0038	R.magnifica	Rmag_R0038	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ala
	Rmag_R0037	R.rectimargo	Rrec_rna_14				
		R.pliocardia	Rple_rna_21				
	Rmag_R0037	V.gigas2	Vgig2_rna_31				
	Rmag_R0037	R.pacifica	Rpac_rna_24				
	Rmag_R0037	R.southwardae	Rsou_rna_8				
	Rmag_R0037	V.okutanii	COSY_R0034				
	Rmag_R0037	V.soyoae2	Vsoy2_rna_9				
	Rmag_R0037	Bathy	MS2017_R005				
	Rmag_R0037	V.extenta	Vext_rna_4				
	Rmag_R0037	SUP05	SP60_03515				
	Rmag_R0037	R.phaseoliformis	Rpha_rna_14				
	Rmag_R0037	V.diagonalis	Vdia_rna_3				
	Rmag_R0037	R.magnifica	Rmag_R0037				
	Rmag_R0036	SUP05	SP60_03510				
		R.pliocardia	Rple_rna_20				
	Rmag_R0036	R.pacifica	Rpac_rna_23				
	Rmag_R0036	V.gigas2	Vgig2_rna_30				
	Rmag_R0036	R.southwardae	Rsou_rna_9				
	Rmag_R0036	V.soyoae2	Vsoy2_rna_8				
	Rmag_R0036	V.diagonalis	Vdia_rna_4				
	Rmag_R0036	V.okutanii	COSY_R0033				
	Rmag_R0036	R.rectimargo	Rrec_rna_13				
	Rmag_R0036	Bathy	MS2017_R006				
	Rmag_R0036	R.magnifica	Rmag_R0036				
	Rmag_R0036	R.phaseoliformis	Rpha_rna_13				
	Rmag_R0036	V.extenta	Vext_rna_5				
		R.southwardae	Rsou_rna_33	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
pseudo		V.diagonalis	Vdia_rna_5	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		V.soyoae2	Vsoy2_rna_7	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
pseudo		V.extenta	Vext_rna_6	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		R.phaseoliformis	Rpha_rna_29	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		R.pliocardia	Rple_rna_19	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		R.magnifica	Rmag_R0035	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
pseudo		R.pacifica	Rpac_rna_22	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
pseudo		R.rectimargo	Rrec_rna_12	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		V.okutanii	COSY_R0032	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		Bathy	MS2017_R007	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		V.gigas2	Vgig2_rna_29	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		SUP05	SP60_03285	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0034	R.phaseoliformis	Rpha_rna_23	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	V.extenta	Vext_rna_7	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	V.okutanii	COSY_R0031	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	R.pacifica	Rpac_rna_21	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	Bathy	MS2017_R008	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	R.southwardae	Rsou_rna_2	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	SUP05	SP60_02680	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	V.diagonalis	Vdia_rna_6	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
		R.pliocardia	Rple_rna_18	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	V.soyoae2	Vsoy2_rna_6	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	R.magnifica	Rmag_R0034	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	R.rectimargo	Rrec_rna_11	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0034	V.gigas2	Vgig2_rna_28	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	V.gigas2	Vgig2_rna_27	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	R.rectimargo	Rrec_rna_10	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
		R.pliocardia	Rple_rna_17	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	R.pacifica	Rpac_rna_20	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	V.soyoae2	Vsoy2_rna_5	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	R.phaseoliformis	Rpha_rna_24	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	Bathy	MS2017_R031	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	V.extenta	Vext_rna_8	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	V.diagonalis	Vdia_rna_7	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	SUP05	SP60_01760	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	R.magnifica	Rmag_R0033	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	V.okutanii	COSY_R0030	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0033	R.southwardae	Rsou_rna_1	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Leu
	Rmag_R0032	V.extenta	Vext_rna_9	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	R.rectimargo	Rrec_rna_9	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	V.okutanii	COSY_R0029	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
		R.pliocardia	Rple_rna_16	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	R.pacifica	Rpac_rna_19	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	V.gigas2	Vgig2_rna_26	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	R.southwardae	Rsou_rna_22	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	SUP05	SP60_01650	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	V.diagonalis	Vdia_rna_8	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	Bathy	MS2017_R030	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	V.soyoae2	Vsoy2_rna_4	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	R.phaseoliformis	Rpha_rna_25	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0032	R.magnifica	Rmag_R0032	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Ser
	Rmag_R0031	R.southwardae	Rsou_rna_36	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	V.soyoae2	Vsoy2_rna_3	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	R.pacifica	Rpac_rna_18	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
		R.pliocardia	Rple_rna_15	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	R.phaseoliformis	Rpha_rna_26	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	SUP05	SP60_05975	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	V.gigas2	Vgig2_rna_25	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	V.okutanii	COSY_R0028	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	V.diagonalis	Vdia_rna_9	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	R.rectimargo	Rrec_rna_8	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	R.magnifica	Rmag_R0031	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	Bathy	MS2017_R010	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0031	V.extenta	Vext_rna_10	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Tyr
	Rmag_R0030	R.southwardae	Rsou_rna_35	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
		R.pliocardia	Rple_rna_14	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
