Bathy	SUP05	R.magnifica	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.okutanii	V.gigas	V.soyoae
MS2017_0001	SP60_04015	Rmag_0001	Rpac_peg_230	Rpha_peg_1019	Rple_peg_1594	Rrec_peg_702	Rsou_peg_1460	Vdia_peg_983	Vext_peg_971	COSY_0001	Vgig2_peg_958	Vsoy2_peg_230
MS2017_0002	SP60_04020	Rmag_0002	Rpac_peg_229	Rpha_peg_1020	Rple_peg_1593	Rrec_peg_703	Rsou_peg_1461	Vdia_peg_982	Vext_peg_970	COSY_0002	Vgig2_peg_957	Vsoy2_peg_231
MS2017_0004	SP60_04030	Rmag_0003	Rpac_peg_228	Rpha_peg_1022	Rple_peg_1590	Rrec_peg_704	Rsou_peg_1464	Vdia_peg_981	Vext_peg_969	COSY_0003	Vgig2_peg_956	Vsoy2_peg_232
MS2017_0005	SP60_04035	Rmag_0004	Rpac_peg_227	Rpha_peg_1023	Rple_peg_1589	Rrec_peg_705	Rsou_peg_1465	Vdia_peg_980	Vext_peg_968	COSY_0004	Vgig2_peg_955	Vsoy2_peg_233
MS2017_0010	SP60_04040	Rmag_0005	Rpac_peg_226	Rpha_peg_1031	Rple_peg_1587	Rrec_peg_706	Rsou_peg_1796	Vdia_peg_979	Vext_peg_967	COSY_0005	Vgig2_peg_954	Vsoy2_peg_234
MS2017_0011	SP60_04045	Rmag_0006	Rpac_peg_225	Rpha_peg_1032	Rple_peg_1586	Rrec_peg_707	Rsou_peg_1795	Vdia_peg_978	Vext_peg_966	COSY_0006	Vgig2_peg_953	Vsoy2_peg_235
MS2017_0012	SP60_04050	Rmag_0007	Rpac_peg_224	Rpha_peg_1033	Rple_peg_1585	Rrec_peg_708	Rsou_peg_1794	Vdia_peg_977	Vext_peg_965	COSY_0007	Vgig2_peg_952	Vsoy2_peg_236
MS2017_0014	SP60_04060	Rmag_0008	Rpac_peg_222	Rpha_peg_1035	Rple_peg_1583	Rrec_peg_710	Rsou_peg_1792	Vdia_peg_975	Vext_peg_963	COSY_0009	Vgig2_peg_950	Vsoy2_peg_238
MS2017_0015	SP60_04065	Rmag_0009	Rpac_peg_221	Rpha_peg_1036	Rple_peg_1582	Rrec_peg_711	Rsou_peg_1791	Vdia_peg_974	Vext_peg_962	COSY_0010	Vgig2_peg_949	Vsoy2_peg_239
MS2017_0016	SP60_04070	Rmag_0010	Rpac_peg_220	Rpha_peg_1037	Rple_peg_1581	Rrec_peg_712	Rsou_peg_1790	Vdia_peg_973	Vext_peg_961	COSY_0011	Vgig2_peg_948	Vsoy2_peg_240
MS2017_0017	SP60_04075	Rmag_0011	Rpac_peg_219	Rpha_peg_1038	Rple_peg_1580	Rrec_peg_713	Rsou_peg_1789	Vdia_peg_972	Vext_peg_960	COSY_0012	Vgig2_peg_947	Vsoy2_peg_241
MS2017_0018	SP60_04080	Rmag_0012	Rpac_peg_218	Rpha_peg_1039	Rple_peg_1579	Rrec_peg_714	Rsou_peg_1788	Vdia_peg_971	Vext_peg_959	COSY_0013	Vgig2_peg_946	Vsoy2_peg_242
