B_thermophilus_symbiont	R.fausta	R.magnifica	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	SUP05	V.diagonalis	V.extenta	V.gigas1	V.gigas2	V.marissinica	V.okutanii	V.soyoae1	V.soyoae2
MS2017_1016	HUE58_RS02575	Rmag_0553	Rpac_peg_1326	Rpha_peg_159	Rple_peg_1162	Rrec_peg_1243	Rsou_peg_904	SP60_07900	Vdia_peg_470	Vext_peg_457	Vgig1_peg_421	Vgig2_peg_306	Vmar_0513	COSY_0507	Vsoy1_peg_538	Vsoy2_peg_737
MS2017_1610	HUE58_RS01075	Rmag_0319	Rpac_peg_481	Rpha_peg_1699	Rple_peg_640	Rrec_peg_108	Rsou_peg_625	SP60_01430	Vdia_peg_679	Vext_peg_668	Vgig1_peg_630	Vgig2_peg_518	Vmar_0300	COSY_0300	Vsoy1_peg_325	Vsoy2_peg_529
MS2017_0345	HUE58_RS00530	Rmag_0232	Rpac_peg_355	Rpha_peg_1120	Rple_peg_100	Rrec_peg_227	Rsou_peg_1038	SP60_05580	Vdia_peg_762	Vext_peg_751	Vgig1_peg_706	Vgig2_peg_594	Vmar_0221	COSY_0223	Vsoy1_peg_246	Vsoy2_peg_451
MS2017_1017	HUE58_RS02565	Rmag_0551	Rpac_peg_1328	Rpha_peg_161	Rple_peg_1164	Rrec_peg_1241	Rsou_peg_902	SP60_07910	Vdia_peg_355	Vext_peg_345	Vgig1_peg_308	Vgig2_peg_195	Vmar_0625	COSY_0617	Vsoy1_peg_652	Vsoy2_peg_852
MS2017_0503	HUE58_RS00200	Rmag_0785	Rpac_peg_279	Rpha_peg_2052	Rple_peg_369	Rrec_peg_301	Rsou_peg_1129	SP60_06205	Vdia_peg_241	Vext_peg_236	Vgig1_peg_200	Vgig2_peg_90	Vmar_0729	COSY_0715	Vsoy1_peg_756	Vsoy2_peg_957
MS2017_0267	HUE58_RS05840	Rmag_0039	Rpac_peg_186	Rpha_peg_1072	Rple_peg_1545	Rrec_peg_745	Rsou_peg_488	SP60_04175	Vdia_peg_944	Vext_peg_932	Vgig1_peg_51	Vgig2_peg_917	Vmar_0042	COSY_0040	Vsoy1_peg_67	Vsoy2_peg_270
MS2017_0346	HUE58_RS00535	Rmag_0233	Rpac_peg_356	Rpha_peg_1119	Rple_peg_101	Rrec_peg_226	Rsou_peg_1039	SP60_05585	Vdia_peg_761	Vext_peg_750	Vgig1_peg_705	Vgig2_peg_593	Vmar_0222	COSY_0224	Vsoy1_peg_247	Vsoy2_peg_452
MS2017_1018	HUE58_RS02560	Rmag_0550	Rpac_peg_1329	Rpha_peg_162	Rple_peg_1165	Rrec_peg_1240	Rsou_peg_901	SP60_07915	Vdia_peg_472	Vext_peg_459	Vgig1_peg_423	Vgig2_peg_308	Vmar_0511	COSY_0505	Vsoy1_peg_535	Vsoy2_peg_734
MS2017_0504	HUE58_RS00205	Rmag_0784	Rpac_peg_280	Rpha_peg_2053	Rple_peg_368	Rrec_peg_300	Rsou_peg_1128	SP60_06210	Vdia_peg_242	Vext_peg_237	Vgig1_peg_201	Vgig2_peg_91	Vmar_0728	COSY_0714	Vsoy1_peg_755	Vsoy2_peg_956
MS2017_0268	HUE58_RS05845	Rmag_0040	Rpac_peg_185	Rpha_peg_1073	Rple_peg_1544	Rrec_peg_746	Rsou_peg_489	SP60_04180	Vdia_peg_943	Vext_peg_931	Vgig1_peg_52	Vgig2_peg_916	Vmar_0043	COSY_0041	Vsoy1_peg_68	Vsoy2_peg_271
