GenomePair	dn_sqr1	dn_sqr6	dnds_sqr1	dnds_sqr6	ds_sqr1	ds_sqr6	Groups
Bathy-R.fausta	0.08899028593893983	0.1456254473858623	0.04267866388682652	0.10551904439349659	2.0851235215544826	1.3800868670000728	F-R
Bathy-R.magnifica	0.09550478294268847	0.1601058449113684	0.040399066336282666	0.10471991835001966	2.3640344097981045	1.5288958149893204	F-R
Bathy-R.pacifica	0.08609742099666907	0.14751711680591734	0.043273209956416626	0.10246373143534564	1.9896240903640752	1.4397008067093504	F-R
Bathy-R.phaseoliformis	0.08490805293134246	0.138705809811793	0.04557642364371103	0.09123454851852877	1.8629819135240266	1.5203211071255898	F-R
Bathy-R.pliocardia	0.08301718328964386	0.14545715039213478	0.039320410946008154	0.09433053056720703	2.111299991336226	1.5419944053903303	F-R
Bathy-R.rectimargo	0.08899028593893983	0.14548167693153571	0.04267866388682652	0.10607674960337768	2.0851235215544826	1.371475629442772	F-R
Bathy-R.southwardae	0.08132143283015936	0.13682151691327385	0.03919970185795146	0.0890013310030434	2.0745421259795553	1.5372974243339714	F-R
Bathy-SUP05	0.08685345119659714	0.1556514554699485	0.03420635245857688	0.05076480956686199	2.5391029722264222	3.0661290133461647	F-F
Bathy-V.diagonalis	0.0857593791091944	0.15316165993536263	0.023382637313109605	0.06926194937749243	3.6944042255305938	2.2113391452585147	F-V
Bathy-V.extenta	0.08561686954841845	0.15316165993536263	0.02493002910974097	0.06926194937749243	3.434286786089839	2.2113391452585147	F-V
Bathy-V.gigas1	0.08733538466026128	0.1640271778114985	0.02176949333751365	0.08532922882717872	4.05715174705559	1.9222859513205073	F-V
Bathy-V.gigas2	0.0850751076268748	0.1640271778114985	0.023650981222050376	0.08532922882717872	3.617867853110204	1.9222859513205073	F-V
Bathy-V.marissinica	0.08721605175456906	0.16532831674670348	0.027464236816734558	0.0728474438365326	3.17835938155312	2.2695143170389764	F-V
Bathy-V.okutanii	0.08948137082323578	0.15293426659438855	0.023852203613887776	0.06775315799982967	3.7514928294145484	2.2572271331584726	F-V
Bathy-V.soyoae1	0.08774269922555179	0.17239092715095103	0.02521764474025193	0.8081810774595027	3.4794168975462862	0.21330730446307608	F-V
Bathy-V.soyoae2	0.08774269922555179	0.17239092715095103	0.02521764474025193	0.8081810774595027	3.4794168975462862	0.21330730446307608	F-V
R.fausta-R.magnifica	0.05027652108476574	0.06771212759147237	0.19253104985653308	0.16397449357133095	0.2611346124286442	0.4129430505727816	R-R
R.fausta-R.pacifica	0.020887795204156075	0.024162367730081697	0.2842202288692526	0.20928819764700973	0.0734915853359787	0.11545021650401185	R-R
R.fausta-R.phaseoliformis	0.039518300315925604	0.035085679057760305	0.13266735860726506	0.06522118562863845	0.2978750819401746	0.5379491145336414	R-R
R.fausta-R.pliocardia	0.03582857724492819	0.049086525063791055	0.11377357003492515	0.10053229885182996	0.3149112507758161	0.48826621518063046	R-R
R.fausta-R.rectimargo	3.59821469450602e-11	0.0007235499112196088	1.6735823515138264	0.569546344601129	2.1500075519147785e-11	0.00127039690110966	R-R
R.fausta-R.southwardae	0.03711496299402469	0.03780352673400772	0.12206427069987903	0.0768193264389569	0.30406082616329	0.4921095834398862	R-R
R.fausta-SUP05	0.08027266366166155	0.11781345377837492	0.026317469449176876	0.03998835826273335	3.0501664993543756	2.9461938148175912	F-R
R.fausta-V.diagonalis	0.04674435667637896	0.07825186881446611	0.04594626151157817	0.0867712621139632	1.01752771992364	0.9018178012864682	R-V
R.fausta-V.extenta	0.04837368324719528	0.07825186881446611	0.047736512814413	0.0867712621139632	1.0133476535091583	0.9018178012864682	R-V
R.fausta-V.gigas1	0.05232296640920865	0.21001284719196284	0.050534073092049214	0.6455927347227124	1.0344290365714506	0.32530237082386804	R-V
R.fausta-V.gigas2	0.04815482391931502	0.21001284719196284	0.05095524519580326	0.6455927347227124	0.9479724825889387	0.32530237082386804	R-V
R.fausta-V.marissinica	0.05151738769499893	0.09315139387139776	0.047312393680535636	0.1170380662187801	1.0888719636865547	0.7959068094757238	R-V
R.fausta-V.okutanii	0.05262675972166638	0.2104539024109824	0.05648927018833936	0.648003604563003	0.9316239977292132	0.3247727341777784	R-V
R.fausta-V.soyoae1	0.05183216148096494	0.0833032867038514	0.06091774939297846	0.10905866732238524	0.8508548329091628	0.7638392137839068	R-V
R.fausta-V.soyoae2	0.05183216148096494	0.0833032867038514	0.06091774939297846	0.10905866732238524	0.8508548329091628	0.7638392137839068	R-V
R.magnifica-R.pacifica	0.0462303698294638	0.06477898794075714	0.1628572852761491	0.15241614363746978	0.2838704436898431	0.4250139545246437	R-R
R.magnifica-R.phaseoliformis	0.04483552514252211	0.050466970516254116	0.13631710310765469	0.08895009444814321	0.32890608823394546	0.5673627535682464	R-R
R.magnifica-R.pliocardia	0.048041386646194756	0.058629994098640614	0.12120129250305443	0.1147134658873074	0.3963768508902993	0.5110994916345545	R-R
R.magnifica-R.rectimargo	0.050276607084499804	0.06753601359222698	0.19253767377028463	0.1596250553676704	0.26112607522455306	0.42309155938376175	R-R
R.magnifica-R.southwardae	0.043693090300712716	0.050909847327754075	0.1281385243572072	0.10511568705051008	0.34098324855771744	0.48432207176927766	R-R
R.magnifica-SUP05	0.09376909777980097	0.14452226534233512	0.02407236485839382	0.043525481898424936	3.895300620915295	3.3204058643073857	F-R
R.magnifica-V.diagonalis	0.05326774148906387	0.08789137587125109	0.053961268736062995	0.07178857315054918	0.9872011995182798	1.224308716749843	R-V
R.magnifica-V.extenta	0.05594667619727439	0.08789137587125109	0.05652680530186804	0.07178857315054918	0.9897370972674716	1.224308716749843	R-V
R.magnifica-V.gigas1	0.05931123583164531	0.0829488923960413	0.05703600526469249	0.1012280291795658	1.0400129640684048	0.8194261319550179	R-V
R.magnifica-V.gigas2	0.05636155306742889	0.0829488923960413	0.05440696425701636	0.1012280291795658	1.0359116942270883	0.8194261319550179	R-V
R.magnifica-V.marissinica	0.0571155594893932	0.09678334048112013	0.05309239401117917	0.07180557561576832	1.075635356683008	1.3478527210617717	R-V
R.magnifica-V.okutanii	0.052169968963923605	0.10521734489593884	0.05550376128279619	0.07568252089324755	0.9399357405368144	1.3902463032957246	R-V
R.magnifica-V.soyoae1	0.05125840600777047	0.0940732593683228	0.061150070177364506	0.1079732361503288	0.8382395287380134	0.8712646089198126	R-V
R.magnifica-V.soyoae2	0.05125840600777047	0.0940732593683228	0.061150070177364506	0.1079732361503288	0.8382395287380134	0.8712646089198126	R-V
R.pacifica-R.phaseoliformis	0.04419158227490988	0.037181630495116906	0.13787750627355855	0.0708281379370114	0.3205133561614518	0.5249556402030945	R-R
R.pacifica-R.pliocardia	0.03676329963988472	0.05163590412529362	0.10673685697865036	0.10418948027215912	0.3444292878816749	0.4955961387887972	R-R
R.pacifica-R.rectimargo	0.020887561837420368	0.024133783531084706	0.2842276138855965	0.20050275517138558	0.07348885476633439	0.12036634364677758	R-R
R.pacifica-R.southwardae	0.04074209635619237	0.0400765453689206	0.11813050955161206	0.08233281750743389	0.3448905495357392	0.4867627099643719	R-R
R.pacifica-SUP05	0.08498126729595874	0.1209436363919841	0.027909195129765033	0.04017204989962046	3.0449200308656197	3.0106413960500125	F-R
R.pacifica-V.diagonalis	0.04785716026807133	0.08307327944158441	0.04611512193454893	0.10033688465155141	1.0430456936025294	0.8279435795727581	R-V
R.pacifica-V.extenta	0.0501103666863378	0.08307327944158441	0.04578368525053817	0.10033688465155141	1.0945026904698278	0.8279435795727581	R-V
R.pacifica-V.gigas1	0.05076761331954542	0.08481025213961792	0.0471689534561558	0.1155587379663262	1.0755463213264396	0.7339146622069516	R-V
R.pacifica-V.gigas2	0.047187773719612594	0.08481025213961792	0.04479606378051645	0.1155587379663262	1.0533997491386349	0.7339146622069516	R-V
R.pacifica-V.marissinica	0.05039187998260218	0.09306392404771509	0.04440680410782622	0.12258894550974393	1.1347534121992273	0.7591542912841023	R-V
R.pacifica-V.okutanii	0.05124929370655863	0.08831270707593154	0.04814656130336098	0.11621525488068069	1.0644434891964145	0.7599063235424905	R-V
R.pacifica-V.soyoae1	0.04899214150688353	0.08868462163747105	0.055819694608731985	0.12726373520354942	0.8776855883983928	0.6968569757568895	R-V
R.pacifica-V.soyoae2	0.04899214150688353	0.08868462163747105	0.055819694608731985	0.12726373520354942	0.8776855883983928	0.6968569757568895	R-V
R.phaseoliformis-R.pliocardia	0.03701619928291308	0.02491267356032796	0.11797157285411437	0.13645786504716698	0.31377219432928927	0.18256678390591	R-R
R.phaseoliformis-R.rectimargo	0.03951823389640001	0.03518053223993673	0.13266659100692046	0.06394796250826613	0.29787630477622334	0.550143129820425	R-R
R.phaseoliformis-R.southwardae	0.009749313026104134	0.015309072439419548	0.23367142256699994	0.0782855281099702	0.04172231640053777	0.1955543100879948	R-R
R.phaseoliformis-SUP05	0.07641602063747613	0.110262576226378	0.024326262469916194	0.03484024531626174	3.141297218673781	3.1648048176891788	F-R
R.phaseoliformis-V.diagonalis	0.04917887277294115	0.0691818465272144	0.057096928319628974	0.053909278417843355	0.8666794566474134	1.2833012898261313	R-V
R.phaseoliformis-V.extenta	0.05088266029059777	0.0691818465272144	0.0643912216652027	0.053909278417843355	0.7902111339828017	1.2833012898261313	R-V
R.phaseoliformis-V.gigas1	0.04903070848844455	0.07133659472817348	0.05270185597898063	0.07611600029933087	0.9310157069681619	0.9372089238483094	R-V
R.phaseoliformis-V.gigas2	0.04730643528089641	0.07133659472817348	0.0499617640225006	0.07611600029933087	0.9468497713981385	0.9372089238483094	R-V
R.phaseoliformis-V.marissinica	0.05340336901132575	0.07879737735927958	0.058309037722699936	0.07060153637942526	0.9157736386170356	1.1160858729165384	R-V
R.phaseoliformis-V.okutanii	0.0490136981089082	0.07109327970727027	0.06438666605310003	0.07883670815119807	0.7612398826254855	0.9017788968423572	R-V
R.phaseoliformis-V.soyoae1	0.05208145436070563	0.07185873142631323	0.072551454545898	0.08001474115968124	0.7178554129160499	0.8980686606597716	R-V
R.phaseoliformis-V.soyoae2	0.05208145436070563	0.07185873142631323	0.072551454545898	0.08001474115968124	0.7178554129160499	0.8980686606597716	R-V
R.pliocardia-R.rectimargo	0.035828530312165284	0.049127806232951314	0.11377332096981982	0.09887521729549739	0.3149115276477635	0.49686673341135107	R-R
R.pliocardia-R.southwardae	0.0333452138082886	0.025863478560140225	0.1078175911320676	0.1796511751752401	0.3092743350891923	0.14396498400253596	R-R
R.pliocardia-SUP05	0.07059972161925585	0.117731566686368	0.024543565502084568	0.03569998762531017	2.8765063337378414	3.2978041315314077	F-R
R.pliocardia-V.diagonalis	0.053812441403430694	0.07682377490241481	0.07165927663352104	0.059193954811073105	0.7511566599134151	1.297831428016764	R-V
R.pliocardia-V.extenta	0.0555517342927181	0.07682377490241481	0.07453801006756351	0.059193954811073105	0.7452806191413525	1.297831428016764	R-V
R.pliocardia-V.gigas1	0.05488684071052537	0.07707745646501961	0.0595729033996117	0.08657529704598546	0.9213882028679528	0.8902938724435335	R-V
R.pliocardia-V.gigas2	0.05144657846474695	0.07707745646501961	0.05571250808692267	0.08657529704598546	0.923421921540664	0.8902938724435335	R-V
R.pliocardia-V.marissinica	0.0576997984256002	0.09436294761924603	0.06518520363758545	0.07196187578956462	0.8851939322536226	1.3112908270371941	R-V
R.pliocardia-V.okutanii	0.05330786467887247	0.08382086825590523	0.06764192500137177	0.08061816375357353	0.7880891130432996	1.0397268351598958	R-V
R.pliocardia-V.soyoae1	0.05403327783316196	0.08246216040302495	0.07508025197412689	0.08080795023666976	0.7196736347099921	1.020470883885934	R-V
R.pliocardia-V.soyoae2	0.05403327783316196	0.08246216040302495	0.07508025197412689	0.08080795023666976	0.7196736347099921	1.020470883885934	R-V
R.rectimargo-R.southwardae	0.03711496299402469	0.03766905179573274	0.12206427069987903	0.07711701549760229	0.30406082616329	0.4884661517652215	R-R
R.rectimargo-SUP05	0.08027266366166155	0.11766524950143878	0.026317469449176876	0.04108078259216549	3.0501664993543756	2.8642407003190513	F-R
R.rectimargo-V.diagonalis	0.04674435667637896	0.07932756458412739	0.04594626151157817	0.07993259845699553	1.01752771992364	0.9924306993073213	R-V
R.rectimargo-V.extenta	0.04837368324719528	0.07932756458412739	0.047736512814413	0.07993259845699553	1.0133476535091583	0.9924306993073213	R-V
R.rectimargo-V.gigas1	0.05232296640920865	0.07985329360458317	0.050534073092049214	0.10392632342893225	1.0344290365714506	0.7683644621488905	R-V
R.rectimargo-V.gigas2	0.04815482391931502	0.07985329360458317	0.05095524519580326	0.10392632342893225	0.9479724825889387	0.7683644621488905	R-V
R.rectimargo-V.marissinica	0.05151738769499893	0.09288640574515886	0.047312393680535636	0.11444865460330443	1.0888719636865547	0.8115989311286931	R-V
R.rectimargo-V.okutanii	0.05262675972166638	0.0798776730330413	0.05648927018833936	0.10080856260375667	0.9316239977292132	0.7923699234460132	R-V
R.rectimargo-V.soyoae1	0.05183216148096494	0.08350243529080933	0.06091774939297846	0.10665375851802429	0.8508548329091628	0.7829300762682224	R-V
R.rectimargo-V.soyoae2	0.05183216148096494	0.08350243529080933	0.06091774939297846	0.10665375851802429	0.8508548329091628	0.7829300762682224	R-V
R.southwardae-SUP05	0.07256156292572982	0.11207505702358946	0.022981104614608987	0.039411357792559415	3.157444524211545	2.8437248372282276	F-R
R.southwardae-V.diagonalis	0.04986407569555555	0.06990778512740253	0.05235061245100527	0.0524209411850275	0.960559573727758	1.3335850815927288	R-V
R.southwardae-V.extenta	0.0513321163976781	0.06990778512740253	0.058344789029012654	0.0524209411850275	0.8798063589218325	1.3335850815927288	R-V
R.southwardae-V.gigas1	0.051227511356343604	0.06940713332572229	0.04961474484233806	0.07374506374428784	1.0387183590710367	0.9411766673142031	R-V
R.southwardae-V.gigas2	0.04809118366629663	0.06940713332572229	0.044101943546647676	0.07374506374428784	1.0904271111489612	0.9411766673142031	R-V
R.southwardae-V.marissinica	0.054681570018261995	0.08175711533609169	0.055257092455018766	0.07427204782537697	0.9901689815772379	1.1007790646666034	R-V
R.southwardae-V.okutanii	0.052879435766719635	0.07447794319487652	0.05495911897409718	0.07829868093939979	0.9621594514941602	0.951203038177867	R-V
R.southwardae-V.soyoae1	0.054142289994897355	0.07942614601472607	0.06003813993353181	0.047977090180760545	0.9017982578214158	1.6555015261550192	R-V
R.southwardae-V.soyoae2	0.054142289994897355	0.07942614601472607	0.06003813993353181	0.047977090180760545	0.9017982578214158	1.6555015261550192	R-V
SUP05-V.diagonalis	0.08550890951835424	0.1358551110687226	0.022321030192844607	0.03322540865496632	3.8314938365443627	4.088892103014536	F-V
SUP05-V.extenta	0.0884410344339554	0.1358551110687226	0.023124213549689403	0.03322540865496632	3.824607234486611	4.088892103014536	F-V
SUP05-V.gigas1	0.08820800653284483	0.1378842786116506	0.019387116148483746	0.03198054772981589	4.5540694163907425	4.311504598875248	F-V
SUP05-V.gigas2	0.08873157908251483	0.1378842786116506	0.018761211782676868	0.03198054772981589	4.730158383785984	4.311504598875248	F-V
SUP05-V.marissinica	0.09131526459501171	0.15918563177545084	0.01973391572276584	0.04103674152439976	4.775826311596834	3.879100188322743	F-V
SUP05-V.okutanii	0.08619808443296427	0.13310298978425972	0.022992816200860616	0.03724301559414104	3.748913733748626	3.5739047351793682	F-V
SUP05-V.soyoae1	0.08620592854780135	0.13615984045840654	0.021842570577730893	0.03268408970319095	3.946693372971892	4.165936444762396	F-V
SUP05-V.soyoae2	0.08620592854780135	0.13615984045840654	0.021842570577730893	0.03268408970319095	3.946693372971892	4.165936444762396	F-V
V.diagonalis-V.extenta	0.001465085008024739	3.541641852084515e-11	0.8538067301766956	1.6869291862688454	0.0017844055710715377	2.0994608907786627e-11	V-V
V.diagonalis-V.gigas1	0.015431148628464487	0.019236371316523546	0.08130703440894077	0.0646513715956246	0.18940754398000864	0.29754003421368097	V-V
V.diagonalis-V.gigas2	0.01459366001447826	0.019236371316523546	0.07896828751269526	0.0646513715956246	0.1848004204489769	0.29754003421368097	V-V
V.diagonalis-V.marissinica	0.013829692993891403	0.020620450272413843	0.0734790621424049	0.07197743632438273	0.18811125897238687	0.2864849225732781	V-V
V.diagonalis-V.okutanii	0.012221499925698659	0.019339426508514862	0.07111948870971557	0.06580805940941484	0.17177334207074202	0.2938762619969928	V-V
V.diagonalis-V.soyoae1	0.013208792921476815	0.015025762522190511	0.08241028637955812	0.05441572437631537	0.1602337080272907	0.2761290545041522	V-V
