gene	ncodons	SymvsFL_k	RuvsFL_k	GivsFL_k	GivsRu_k
Rmag_0001	435				
Rmag_0002	367	0.55	0.52	0.54	
Rmag_0003	812	0.61	0.55	0.63	1.32
Rmag_0004	295		0.33		2.81
Rmag_0005	821	0.52	0.49	0.62	
Rmag_0006	340	0.53	0.66	0.58	
Rmag_0007	255				1.16
Rmag_0008	211		0.64		1.49
Rmag_0009	290		0.03		2.34
Rmag_0010	408	9.54	0.00	13.49	
Rmag_0011	198				
Rmag_0012	104	5.90			
Rmag_0013	899	0.00		0.49	
Rmag_0015	350				
Rmag_0016	312				3.86
Rmag_0018	352				3.38
Rmag_0019	278	10.00			
Rmag_0022	266	0.09	0.10	0.02	
Rmag_0023	311	0.08	0.00	0.14	
Rmag_0025	387				3.90
Rmag_0026	278				
Rmag_0027	248		0.26		
Rmag_0028	260				
Rmag_0043	768	0.50	0.66	0.18	
Rmag_0044	315	0.39	0.59	0.62	
Rmag_0045	320			13.94	1.65
Rmag_0046	142		0.00		
Rmag_0050	131	0.12	0.20		
Rmag_0051	337				0.08
Rmag_0052	154		0.38	0.33	
Rmag_0053	492		0.61		1.30
Rmag_0054	849	0.52	0.00	0.62	
Rmag_0055	129				
Rmag_0058	252				
Rmag_0061	204			0.33	
Rmag_0062	662				
Rmag_0063	331	0.00	0.00	0.66	
Rmag_0065	392	0.00	0.06	0.07	
Rmag_0066	482				1.68
Rmag_0067	353	0.00	0.00	0.75	
Rmag_0068	627	0.12	0.05	0.23	
Rmag_0070	272	4.79			
Rmag_0071	258	0.21	0.42	0.44	
Rmag_0072	304				
Rmag_0073	289				
Rmag_0074	271		0.50	0.34	
Rmag_0077	239	0.50	0.41	0.46	
Rmag_0078	913	0.52	0.00	0.47	0.79
Rmag_0079	573			0.00	0.09
Rmag_0080	1073	2.93			0.00
Rmag_0082	196				
Rmag_0083	350	0.52	0.54	0.44	
Rmag_0085	404	0.15	0.53	0.41	
Rmag_0086	298	0.00		0.00	
Rmag_0087	163	0.00	0.00	0.00	
Rmag_0088	640	21.36	4.63	0.00	
Rmag_0089	141				
Rmag_0090	171		0.36		
Rmag_0091	123				
Rmag_0094	414	0.44	0.17	0.50	
Rmag_0097	477	0.05	0.15	0.39	
Rmag_0098	199	0.37	0.37	0.45	
Rmag_0099	360	0.06	0.40	0.41	
Rmag_0101	200				0.22
Rmag_0103	415		0.50		4.88
Rmag_0104	100	0.23	0.00	0.37	
Rmag_0105	375				
Rmag_0106	289				
Rmag_0107	260				
Rmag_0108	604		0.00	11.77	11.89
Rmag_0109	320	0.69		0.68	
Rmag_0111	181	0.20		0.40	
Rmag_0112	339	0.50	0.54	0.14	0.74
Rmag_0113	415				
Rmag_0116	286				
Rmag_0117	249				
Rmag_0118	417		0.38		18.68
Rmag_0120	686	0.47	0.59	0.59	
Rmag_0121	153				
Rmag_0122	391				
Rmag_0123	328				2.01
Rmag_0126	76			0.60	
