Bathy	SUP05	R.magnifica	R.pacifica	R.phaseoliformis	R.pleocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.okutanii	V.gigas2	V.soyoae2	V.gigas1	V.soyoae1	product	genome_count
MS2017_0001	SP60_04015	Rmag_0001	Rpac_peg_230	Rpha_peg_1019	Rple_peg_1594	Rrec_peg_702	Rsou_peg_1460	Vdia_peg_983	Vext_peg_971	COSY_0001	Vgig2_peg_958	Vsoy2_peg_230	Vgig1_peg_10	Vsoy1_peg_26	Chromosomal replication initiator protein DnaA	15
MS2017_0002	SP60_04020	Rmag_0002	Rpac_peg_229	Rpha_peg_1020	Rple_peg_1593	Rrec_peg_703	Rsou_peg_1461	Vdia_peg_982	Vext_peg_970	COSY_0002	Vgig2_peg_957	Vsoy2_peg_231	Vgig1_peg_11	Vsoy1_peg_27	DNA polymerase III beta subunit (EC 2.7.7.7)	15
MS2017_0004	SP60_04030	Rmag_0003	Rpac_peg_228	Rpha_peg_1022	Rple_peg_1590	Rrec_peg_704	Rsou_peg_1464	Vdia_peg_981	Vext_peg_969	COSY_0003	Vgig2_peg_956	Vsoy2_peg_232	Vgig1_peg_12	Vsoy1_peg_28	DNA gyrase subunit B (EC 5.99.1.3)	15
MS2017_0005	SP60_04035	Rmag_0004	Rpac_peg_227	Rpha_peg_1023	Rple_peg_1589	Rrec_peg_705	Rsou_peg_1465	Vdia_peg_980	Vext_peg_968	COSY_0004	Vgig2_peg_955	Vsoy2_peg_233	Vgig1_peg_13	Vsoy1_peg_29	Phosphoribulokinase (EC 2.7.1.19)	15
MS2017_0010	SP60_04040	Rmag_0005	Rpac_peg_226	Rpha_peg_1031	Rple_peg_1587	Rrec_peg_706	Rsou_peg_1796	Vdia_peg_979	Vext_peg_967	COSY_0005	Vgig2_peg_954	Vsoy2_peg_234	Vgig1_peg_14	Vsoy1_peg_30	Leucyl-tRNA synthetase (EC 6.1.1.4)	15
MS2017_0011	SP60_04045	Rmag_0006	Rpac_peg_225	Rpha_peg_1032	Rple_peg_1586	Rrec_peg_707	Rsou_peg_1795	Vdia_peg_978	Vext_peg_966	COSY_0006	Vgig2_peg_953	Vsoy2_peg_235	Vgig1_peg_15	Vsoy1_peg_31	Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	15
MS2017_0012	SP60_04050	Rmag_0007	Rpac_peg_224	Rpha_peg_1033	Rple_peg_1585	Rrec_peg_708	Rsou_peg_1794	Vdia_peg_977	Vext_peg_965	COSY_0007	Vgig2_peg_952	Vsoy2_peg_236	Vgig1_peg_16	Vsoy1_peg_32	Dethiobiotin synthetase (EC 6.3.3.3)	15
MS2017_0014	SP60_04060	Rmag_0008	Rpac_peg_222	Rpha_peg_1035	Rple_peg_1583	Rrec_peg_710	Rsou_peg_1792	Vdia_peg_975	Vext_peg_963	COSY_0009	Vgig2_peg_950	Vsoy2_peg_238	Vgig1_peg_18	Vsoy1_peg_34	Stringent starvation protein A	15
MS2017_0015	SP60_04065	Rmag_0009	Rpac_peg_221	Rpha_peg_1036	Rple_peg_1582	Rrec_peg_711	Rsou_peg_1791	Vdia_peg_974	Vext_peg_962	COSY_0010	Vgig2_peg_949	Vsoy2_peg_239	Vgig1_peg_19	Vsoy1_peg_35	ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit	15
MS2017_0016	SP60_04070	Rmag_0010	Rpac_peg_220	Rpha_peg_1037	Rple_peg_1581	Rrec_peg_712	Rsou_peg_1790	Vdia_peg_973	Vext_peg_961	COSY_0011	Vgig2_peg_948	Vsoy2_peg_240	Vgig1_peg_20	Vsoy1_peg_36	Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)	15
