R.magnifica	Branch	p_Holm	KH_pval
Rmag_0012	R.phaseoliformis	1	
Rmag_0012	SUP05	1	
Rmag_0012	R.southwardae	1	
Rmag_0012	R.rectimargo	1	
Rmag_0012	Node21	1	
Rmag_0012	V.extenta	1	
Rmag_0012	R.magnifica	1	
Rmag_0012	V.gigas	1	
Rmag_0012	R.pacifica	1	
Rmag_0012	R.kilmeri	1	
Rmag_0012	V.okutanii	1	
Rmag_0012	Node9	1	
Rmag_0012	R.pleocardia	1	
Rmag_0012	Node1	1	
Rmag_0012	Node15	1	
Rmag_0012	Node3	1	
Rmag_0012	Node2	1	
Rmag_0012	Node7	1	
Rmag_0012	Node6	1	
Rmag_0012	Node10	1	
Rmag_0012	V.diagonalis	1	
Rmag_0012	Node18	1	
Rmag_0012	Bathy	1	
Rmag_0013	R.phaseoliformis	1	
Rmag_0013	SUP05	0.7690304214540785	
Rmag_0013	R.southwardae	1	
Rmag_0013	R.rectimargo	1	
Rmag_0013	Node21	1	
Rmag_0013	V.extenta	1	
Rmag_0013	R.magnifica	1	
Rmag_0013	V.gigas	1	
Rmag_0013	R.pacifica	1	
Rmag_0013	R.kilmeri	1	
Rmag_0013	V.okutanii	1	
Rmag_0013	R.pleocardia	1	
Rmag_0013	Node1	1	
Rmag_0013	Node3	1	
Rmag_0013	Node2	1	
Rmag_0013	Node4	0.1773047423078702	
Rmag_0013	Node7	1	
Rmag_0013	Node11	1	
Rmag_0013	Node12	1	
Rmag_0013	V.diagonalis	1	
Rmag_0013	Node17	1	
Rmag_0013	Node8	1	
Rmag_0013	Bathy	0.3813999686591197	
Rmag_0046	R.phaseoliformis	1	
Rmag_0046	SUP05	1	
Rmag_0046	R.southwardae	1	
Rmag_0046	R.rectimargo	1	
Rmag_0046	Node20	1	
Rmag_0046	V.extenta	1	
Rmag_0046	R.magnifica	1	
Rmag_0046	V.gigas	1	
Rmag_0046	R.pacifica	1	
Rmag_0046	R.kilmeri	1	
Rmag_0046	V.okutanii	1	
Rmag_0046	R.pleocardia	1	
Rmag_0046	Node1	1	
Rmag_0046	Node3	0.08430626613082692	
Rmag_0046	Node2	1	
Rmag_0046	Node7	1	
Rmag_0046	Node6	1	
Rmag_0046	Node11	1	
Rmag_0046	Node10	1	
Rmag_0046	V.diagonalis	1	
Rmag_0046	Node16	1	
Rmag_0046	Node19	1	
Rmag_0046	Bathy	1	
Rmag_0052	R.phaseoliformis	1	
Rmag_0052	SUP05	1	
Rmag_0052	R.southwardae	1	
Rmag_0052	R.rectimargo	1	
Rmag_0052	Node21	1	
Rmag_0052	V.extenta	1	
Rmag_0052	R.magnifica	1	
Rmag_0052	V.gigas	1	
Rmag_0052	R.pacifica	1	
Rmag_0052	R.kilmeri	1	
Rmag_0052	V.okutanii	1	
Rmag_0052	R.pleocardia	1	
Rmag_0052	Node1	1	
Rmag_0052	Node2	0.6695703932360244	
Rmag_0052	Node5	1	
Rmag_0052	Node7	1	
Rmag_0052	Node6	1	
Rmag_0052	Node11	1	
Rmag_0052	V.diagonalis	1	
Rmag_0052	Node14	1	
Rmag_0052	Node17	1	
Rmag_0052	Node16	1	
Rmag_0052	Bathy	1	
Rmag_0077	R.phaseoliformis	1	0.1
Rmag_0077	SUP05	1	0.1
Rmag_0077	R.southwardae	1	0.1
Rmag_0077	R.rectimargo	1	0.1
Rmag_0077	Node21	1	0.1
Rmag_0077	V.extenta	1	0.1
Rmag_0077	R.magnifica	1	0.1
Rmag_0077	V.gigas	1	0.1
Rmag_0077	R.pacifica	1	0.1
