	Groups	isolate	Mito_dNdS	Mito_dS	Mito_dN	Mito_f84	Symb_dNdS	Symb_dS	Symb_dN	Symb_f84	Mito_transition	Mito_transversion	Symb_transition	Symb_transversion
bathy-dia	FL-G	unknown					0.0283923015688216	6.038842463022753	0.1714566363367474	0.359145876138405			101270.0	88441.0
bathy-ext	FL-G	unknown					0.047951838297463995	3.5302257680847102	0.16928081518473864	0.359158752839594			101269.0	88429.0
bathy-gig	FL-G	unknown					0.0283845313516382	6.008751214521776	0.17055558723278744	0.358151174133563			101303.0	88097.0
bathy-mag	FL-R	unknown					0.06065744931628876	2.607199127340587	0.15814604892413395	0.342220396947753			99781.0	84412.0
bathy-oku	FL-G	unknown					0.03311769210390195	5.122645925339198	0.16965021051269144	0.356891561642533			101654.0	88579.0
bathy-pac	FL-R	unknown					0.06550382252378027	2.355439199143708	0.15429027126626457	0.336509831372363			98421.0	82564.0
bathy-pha	FL-R	unknown					0.06703611689585413	2.2147508673658356	0.1484682980399305	0.330113431384745			96357.0	82412.0
bathy-pli	FL-R	unknown					0.0657079865744055	2.2608361858491817	0.14855499374670816	0.330436056685866			95864.0	83020.0
bathy-rec	FL-R	unknown					0.06595066593410043	2.3204492193489243	0.15303517128232505	0.334802291252762			97882.0	82635.0
bathy-sou	FL-R	unknown					0.06830973516448284	2.1615534981609894	0.14765514700323862	0.328975226493321			95931.0	82282.0
bathy-soy2	FL-G	unknown					0.033895065931947285	4.973670689543214	0.16858289594586096	0.356101992163972			100856.0	87971.0
bathy-sup05	FL-FL	unknown					0.05514980016914303	2.77438482164424	0.15300676850598338	0.351199720993165			97392.0	91233.0
dia-ext	G-G	known	0.056514832156249244	0.4821854004254708	0.027250626973239316	0.107035912701707	0.18629976329995937	0.00196317836434792	0.0003657396645936189	0.000707234446912683	888.0	273.0	353.0	135.0
dia-gig	G-G	known					0.11478776370456568	0.18882174901644197	0.02167442630838215	0.0505479349294807			25742.0	7321.0
dia-gig1	G-G	known	0.05989514428431031	0.4964143297084454	0.029732807902686526	0.0836481885971417					633.0	200.0		
dia-gig2	G-G	known	0.051288760042552006	0.38679293445668494	0.01983813000150346	0.0842695458482137					693.0	219.0		
dia-mag	G-R	unknown	0.03502542773411511	1.358658290870069	0.047587587782225944	0.171884917005249	0.09757355888618698	0.8830398936997895	0.0861613450667687	0.184111759696816	1288.0	510.0	80228.0	27660.0
dia-mariana	G-R	unknown	0.02021240288782785	2.6058249020509705	0.052669982775388764	0.174476057246573					1263.0	574.0		
dia-oku	G-G	unknown	0.04683012683698407	0.5527273526303779	0.025884292029951017	0.107675170814569	0.11803009646004936	0.170856818829244	0.020166246807272848	0.0469164717753514	916.0	252.0	24048.0	6808.0
dia-pac	G-R	known	0.02786415385952282	2.245729698025343	0.06257535783267788	0.183063543168705	0.0714876448810606	1.2588878714953984	0.08999492910253729	0.188026181276906	1347.0	579.0	83131.0	26125.0
dia-pha	G-R	known	0.030111989796121997	1.6848221205200842	0.0507333465013814	0.175565789200481	0.12043161497659616	0.7723542932352375	0.09301587486842718	0.185532588677536	1266.0	579.0	81777.0	26403.0
dia-pha_ref	G-R	unknown	0.02947954364673765	1.7491021910778568	0.05156273438448414	0.174871438212057					1267.0	576.0		
dia-pli	G-R	known	0.017659922673113594	3.431032948673781	0.06059177656248389	0.19935855360341	0.07315588982911675	1.268129544205695	0.09277114522495987	0.192693242211549	1392.0	677.0	81839.0	29877.0
dia-rec	G-R	known	0.027636553687815386	2.432282105291019	0.06721989498678788	0.192324300704279	0.06951379638036127	1.2832623335625943	0.08920443655785744	0.185911938041281	1380.0	645.0	82023.0	26233.0
dia-sou	G-R	known	0.030112158882080665	1.6957830509456095	0.051063688659613686	0.172451383200582	0.09249534570103629	0.876078208048186	0.08103315671456136	0.186205184026387	1251.0	574.0	81427.0	27003.0
dia-soy1	G-G	known	0.04237799657985129	0.5607832023765689	0.02376486863235229	0.106900610758386					925.0	242.0		
dia-soy2	G-G	known	0.04234375391858427	0.5601013208463964	0.023716792499393822	0.106779063552345	0.11793958681965816	0.17693510105183088	0.020867652711947397	0.0482898749587475	924.0	242.0	24671.0	6979.0
dia-sup05	FL-G	unknown					0.03966942805785514	3.9134234736967994	0.15524327094973672	0.345029912701882			97867.0	86587.0
ext-gig	G-G	known					0.11475180126843688	0.1891857524768382	0.021709405871041827	0.050610280768969			25790.0	7318.0
ext-gig1	G-G	known	0.050874740203082656	0.6398771081105376	0.03255358163702343	0.101018886324775					748.0	228.0		
ext-gig2	G-G	known	0.040984449549143015	0.5927273677465613	0.02429260489980528	0.100501270164938					805.0	246.0		
ext-mag	G-R	unknown	0.0274272622918785	1.5705530767708409	0.043075971179910647	0.16442183990548	0.09719810374414044	0.885713935263129	0.0860897149673365	0.184073756764618	1231.0	485.0	80215.0	27658.0
ext-mariana	G-R	unknown	0.02506842429837812	1.8519835739106303	0.046426310024418396	0.162904356539287					1178.0	542.0		
ext-oku	G-G	unknown	0.05466453358012107	0.34770394443968183	0.01900707394676354	0.0798282583858625	0.11753054230579839	0.17284230839825804	0.02031425023943332	0.0469370178174443	694.0	193.0	24070.0	6799.0
ext-pac	G-R	known	0.03597820257041159	1.524719529142418	0.05485666808254849	0.173689887890932	0.07148544036248852	1.2588938929411533	0.08999258430654583	0.18795336592492	1272.0	546.0	83094.0	26122.0
ext-pha	G-R	known	0.024408935766049213	1.858979169580972	0.045375703140725455	0.163403588830005	0.09429095423999655	0.8639415771473449	0.08146187571683074	0.185526261662979	1170.0	552.0	81772.0	26397.0
ext-pha_ref	G-R	unknown	0.02494813174583659	1.8346845008146337	0.04577195063836792	0.161977147727802					1163.0	553.0		
ext-pli	G-R	known	0.018023817426142154	3.216634120459559	0.05797602611386244	0.187257445205693	0.07319853639257648	1.2676632860799968	0.09279109717965973	0.192682479372351	1322.0	644.0	81839.0	29880.0
ext-rec	G-R	known	0.02612763352278564	2.3421994468296155	0.06119612878403544	0.18277784874222	0.06955295476699355	1.2828228499141567	0.0892241196541451	0.185876016964598	1324.0	606.0	82020.0	26229.0
ext-sou	G-R	known	0.024113513943752597	1.8884358584450902	0.045536824404498084	0.163051849776682	0.09249069593797998	0.8756836562093688	0.08099259078431933	0.186195521603311	1177.0	546.0	81414.0	27006.0
ext-soy1	G-G	known	0.05742906913432933	0.3115760714951789	0.01789352375049937	0.0780974431586395					681.0	191.0		
