	SUP05	Bathy	R.magnifica	R.fausta	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.soyoae1	V.soyoae2	V.gigas1	V.gigas2	V.okutanii	V.marissinica
0	SP60_00005	MS2017_1093	Rmag_0520	HUE58_RS02335	Rpac_peg_1384	Rpha_peg_232	Rpli_peg_1203	Rrec_peg_1191	Rsou_peg_82	Vdia_peg_498	Vext_peg_485	Vsoy1_peg_507	Vsoy2_peg_706	Vgig1_peg_451	Vgig2_peg_336	COSY_0477	Vmar_0481
1	SP60_00010	MS2017_1094	Rmag_0518	HUE58_RS02320	Rpac_peg_1389	Rpha_peg_244	Rpli_peg_1205	Rrec_peg_1188	Rsou_peg_1836	Vdia_peg_499	Vext_peg_486	Vsoy1_peg_506	Vsoy2_peg_705	Vgig1_peg_452	Vgig2_peg_337	COSY_0476	Vmar_0480
4	SP60_00030	MS2017_1097	Rmag_0514	HUE58_RS02300	Rpac_peg_1393	Rpha_peg_248	Rpli_peg_1209	Rrec_peg_1184	Rsou_peg_1831	Vdia_peg_502	Vext_peg_489	Vsoy1_peg_502	Vsoy2_peg_701	Vgig1_peg_456	Vgig2_peg_341	COSY_0472	Vmar_0476
5	SP60_00035	MS2017_1098	Rmag_0513	HUE58_RS02295	Rpac_peg_1394	Rpha_peg_249	Rpli_peg_1210	Rrec_peg_1183	Rsou_peg_1830	Vdia_peg_503	Vext_peg_490	Vsoy1_peg_501	Vsoy2_peg_700	Vgig1_peg_457	Vgig2_peg_342	COSY_0471	Vmar_0475
6	SP60_00040	MS2017_1099	Rmag_0512	HUE58_RS02290	Rpac_peg_1395	Rpha_peg_250	Rpli_peg_1211	Rrec_peg_1182	Rsou_peg_1829	Vdia_peg_504	Vext_peg_491	Vsoy1_peg_500	Vsoy2_peg_699	Vgig1_peg_458	Vgig2_peg_343	COSY_0470	Vmar_0474
7	SP60_00045	MS2017_1100	Rmag_0511	HUE58_RS02285	Rpac_peg_1396	Rpha_peg_251	Rpli_peg_1212	Rrec_peg_1181	Rsou_peg_1828	Vdia_peg_505	Vext_peg_492	Vsoy1_peg_499	Vsoy2_peg_698	Vgig1_peg_459	Vgig2_peg_344	COSY_0469	Vmar_0473
8	SP60_00050	MS2017_1101	Rmag_0510	HUE58_RS02280	Rpac_peg_1397	Rpha_peg_252	Rpli_peg_1213	Rrec_peg_1180	Rsou_peg_1827	Vdia_peg_506	Vext_peg_493	Vsoy1_peg_498	Vsoy2_peg_697	Vgig1_peg_460	Vgig2_peg_345	COSY_0468	Vmar_0472
11	SP60_00130	MS2017_1166	Rmag_0507	HUE58_RS02230	Rpac_peg_889	Rpha_peg_264	Rpli_peg_1217	Rrec_peg_1163	Rsou_peg_1187	Vdia_peg_509	Vext_peg_496	Vsoy1_peg_495	Vsoy2_peg_694	Vgig1_peg_463	Vgig2_peg_348	COSY_0465	Vmar_0469
12	SP60_00135	MS2017_1167	Rmag_0506	HUE58_RS02225	Rpac_peg_890	Rpha_peg_265	Rpli_peg_1218	Rrec_peg_1162	Rsou_peg_1188	Vdia_peg_510	Vext_peg_497	Vsoy1_peg_494	Vsoy2_peg_693	Vgig1_peg_464	Vgig2_peg_349	COSY_0464	Vmar_0468
13	SP60_00140	MS2017_1168	Rmag_0505	HUE58_RS02220	Rpac_peg_891	Rpha_peg_266	Rpli_peg_1219	Rrec_peg_1161	Rsou_peg_1189	Vdia_peg_511	Vext_peg_498	Vsoy1_peg_493	Vsoy2_peg_692	Vgig1_peg_465	Vgig2_peg_350	COSY_0463	Vmar_0467
