	CDC	GC	GC1	GC2	GC3	Genome	P(CDC)	gene_id	locus_tag
0	0.105579	0.274419	0.381395	0.293023	0.148837	V.okutanii	0.0	Rmag_0001	COSY_0001
1	0.086081	0.205268	0.291553	0.228883	0.0953678	V.okutanii	0.0	Rmag_0002	COSY_0002
2	0.0778813	0.264596	0.395031	0.308075	0.0906832	V.okutanii	0.0	Rmag_0003	COSY_0003
3	0.0740023	0.294521	0.431507	0.342466	0.109589	V.okutanii	0.032	Rmag_0004	COSY_0004
4	0.0717029	0.279755	0.380368	0.30184	0.157055	V.okutanii	0.0	Rmag_0005	COSY_0005
5	0.0787293	0.305641	0.415385	0.381538	0.12	V.okutanii	0.0032	Rmag_0006	COSY_0006
6	0.11922	0.28858	0.430556	0.296296	0.138889	V.okutanii	0.003	Rmag_0007	COSY_0007
7	0.173071	0.308057	0.440758	0.336493	0.146919	V.okutanii	0.0	Rmag_0008	COSY_0009
8	0.114127	0.280702	0.364035	0.298246	0.179825	V.okutanii	0.0044	Rmag_0009	COSY_0010
9	0.112281	0.339885	0.41769	0.356265	0.2457	V.okutanii	0.0	Rmag_0010	COSY_0011
10	0.142282	0.377104	0.469697	0.444444	0.217172	V.okutanii	0.014	Rmag_0011	COSY_0012
11	0.118067	0.264026	0.366337	0.267327	0.158416	V.okutanii	0.7556	Rmag_0012	COSY_0013
12	0.0877426	0.332962	0.480491	0.318841	0.199554	V.okutanii	0.0	Rmag_0013	COSY_0014
13	0.101218	0.340156	0.47076	0.350877	0.19883	V.okutanii	0.0	Rmag_0015	COSY_0015
14	0.13894	0.298889	0.42	0.296667	0.18	V.okutanii	0.0	Rmag_0016	COSY_0016
15	0.132765	0.336182	0.464387	0.327635	0.216524	V.okutanii	0.0	Rmag_0018	COSY_0017
16	0.10897	0.320144	0.431655	0.284173	0.244604	V.okutanii	0.0018	Rmag_0019	COSY_0018
17	0.0853242	0.303258	0.383459	0.296992	0.229323	V.okutanii	0.0612	Rmag_0022	COSY_0021
18	0.140665	0.320733	0.426117	0.305842	0.230241	V.okutanii	0.0	Rmag_0023	COSY_0022
19	0.126353	0.35074	0.462141	0.360313	0.229765	V.okutanii	0.0	Rmag_0025	COSY_0025
20	0.0931915	0.318296	0.387218	0.342105	0.225564	V.okutanii	0.0308	Rmag_0026	COSY_0026
21	0.117938	0.321888	0.424893	0.351931	0.188841	V.okutanii	0.0032	Rmag_0027	COSY_0027
22	0.134913	0.368627	0.529412	0.384314	0.192157	V.okutanii	0.0002	Rmag_0028	COSY_0028
23	0.0833807	0.324099	0.422164	0.353562	0.19657	V.okutanii	0.0	Rmag_0043	COSY_0046
24	0.0874575	0.35138	0.512739	0.38535	0.156051	V.okutanii	0.0042	Rmag_0044	COSY_0047
25	0.144885	0.355208	0.5125	0.328125	0.225	V.okutanii	0.0	Rmag_0045	COSY_0049
26	0.118455	0.288732	0.429577	0.267606	0.169014	V.okutanii	0.1738	Rmag_0046	COSY_0050
