SUP05	Bathy	R.magnifica	R.fausta	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.soyoae1	V.soyoae2	V.gigas1	V.gigas2	V.okutanii	V.marissinica	Bathysepcomplete_AP013042	Bathyther_MIQH01	Bathyazo_CAESAP02	Sponge_JYIN01	ThioNP1complete_CP023860	ThiosingularisPS1complete_CP006911	Thioautotrophicus_DQLA01	Thioperditus_PNQY01	Thiopontius_JACNGB01
SP60_00005	MS2017_1093	Rmag_0520	HUE58_RS02335	Rpac_peg_1384	Rpha_peg_232	Rpli_peg_1203	Rrec_peg_1191	Rsou_peg_82	Vdia_peg_498	Vext_peg_485	Vsoy1_peg_507	Vsoy2_peg_706	Vgig1_peg_451	Vgig2_peg_336	COSY_0477	Vmar_0481	BSEPE_0862	BGC33_15465	AZO1586R_502	Gsub_0109	CRN91_05955	W908_04350	EYG05_01595	Tper_1314	H8D41_05005
SP60_00010	MS2017_1094	Rmag_0518	HUE58_RS02320	Rpac_peg_1389	Rpha_peg_244	Rpli_peg_1205	Rrec_peg_1188	Rsou_peg_1836	Vdia_peg_499	Vext_peg_486	Vsoy1_peg_506	Vsoy2_peg_705	Vgig1_peg_452	Vgig2_peg_337	COSY_0476	Vmar_0480	BSEPE_0935	BGC33_15455	AZO1586R_503	Gsub_0302	CRN91_05950	W908_04355	EYG05_01600	Tper_1315	H8D41_05010
SP60_00030	MS2017_1097	Rmag_0514	HUE58_RS02300	Rpac_peg_1393	Rpha_peg_248	Rpli_peg_1209	Rrec_peg_1184	Rsou_peg_1831	Vdia_peg_502	Vext_peg_489	Vsoy1_peg_502	Vsoy2_peg_701	Vgig1_peg_456	Vgig2_peg_341	COSY_0472	Vmar_0476	BSEPE_0938	BGC33_15440	AZO1586R_506	Gsub_0306	CRN91_05930	W908_04375	EYG05_01620	Tper_1319	H8D41_05030
SP60_00035	MS2017_1098	Rmag_0513	HUE58_RS02295	Rpac_peg_1394	Rpha_peg_249	Rpli_peg_1210	Rrec_peg_1183	Rsou_peg_1830	Vdia_peg_503	Vext_peg_490	Vsoy1_peg_501	Vsoy2_peg_700	Vgig1_peg_457	Vgig2_peg_342	COSY_0471	Vmar_0475	BSEPE_0939	BGC33_15435	AZO1586R_507	Gsub_0307	CRN91_05925	W908_04380	EYG05_01625	Tper_1320	H8D41_05035
SP60_00050	MS2017_1101	Rmag_0510	HUE58_RS02280	Rpac_peg_1397	Rpha_peg_252	Rpli_peg_1213	Rrec_peg_1180	Rsou_peg_1827	Vdia_peg_506	Vext_peg_493	Vsoy1_peg_498	Vsoy2_peg_697	Vgig1_peg_460	Vgig2_peg_345	COSY_0468	Vmar_0472	BSEPE_0942	BGC33_15420	AZO1586R_510	Gsub_0310	CRN91_05910	W908_04395	EYG05_01705	Tper_1323	H8D41_06695
SP60_00135	MS2017_1167	Rmag_0506	HUE58_RS02225	Rpac_peg_890	Rpha_peg_265	Rpli_peg_1218	Rrec_peg_1162	Rsou_peg_1188	Vdia_peg_510	Vext_peg_497	Vsoy1_peg_494	Vsoy2_peg_693	Vgig1_peg_464	Vgig2_peg_349	COSY_0464	Vmar_0468	BSEPE_0947	BGC33_09075	AZO1586R_1683	Gsub_1240	CRN91_06260	W908_04040	EYG05_07180	Tper_0335	H8D41_00490
SP60_00140	MS2017_1168	Rmag_0505	HUE58_RS02220	Rpac_peg_891	Rpha_peg_266	Rpli_peg_1219	Rrec_peg_1161	Rsou_peg_1189	Vdia_peg_511	Vext_peg_498	Vsoy1_peg_493	Vsoy2_peg_692	Vgig1_peg_465	Vgig2_peg_350	COSY_0463	Vmar_0467	BSEPE_0948	BGC33_09070	AZO1586R_1684	Gsub_1241	CRN91_06265	W908_04035	EYG05_07175	Tper_0336	H8D41_00485
SP60_00145	MS2017_1169	Rmag_0504	HUE58_RS02215	Rpac_peg_892	Rpha_peg_267	Rpli_peg_1220	Rrec_peg_1160	Rsou_peg_1190	Vdia_peg_512	Vext_peg_499	Vsoy1_peg_492	Vsoy2_peg_691	Vgig1_peg_466	Vgig2_peg_351	COSY_0462	Vmar_0466	BSEPE_0949	BGC33_09065	AZO1586R_1685	Gsub_1242	CRN91_06270	W908_04030	EYG05_07170	Tper_0337	H8D41_00480
SP60_00155	MS2017_1173	Rmag_0502	HUE58_RS02205	Rpac_peg_894	Rpha_peg_269	Rpli_peg_1224	Rrec_peg_1158	Rsou_peg_1812	Vdia_peg_513	Vext_peg_500	Vsoy1_peg_491	Vsoy2_peg_690	Vgig1_peg_467	Vgig2_peg_352	COSY_0461	Vmar_0465	BSEPE_0953	BGC33_09050	AZO1586R_2312	Gsub_0301	CRN91_06275	W908_04025	EYG05_07160	Tper_0339	H8D41_00470
SP60_00175	MS2017_1176	Rmag_0499	HUE58_RS02190	Rpac_peg_897	Rpha_peg_272	Rpli_peg_1227	Rrec_peg_1155	Rsou_peg_1809	Vdia_peg_517	Vext_peg_504	Vsoy1_peg_489	Vsoy2_peg_688	Vgig1_peg_470	Vgig2_peg_355	COSY_0459	Vmar_0463	BSEPE_0956	BGC33_09035	AZO1586R_2315	Gsub_1386	CRN91_06290	W908_04010	EYG05_07140	Tper_0342	H8D41_00450
SP60_00180	MS2017_1177	Rmag_0498	HUE58_RS02185	Rpac_peg_898	Rpha_peg_273	Rpli_peg_1228	Rrec_peg_1154	Rsou_peg_1695	Vdia_peg_518	Vext_peg_505	Vsoy1_peg_488	Vsoy2_peg_687	Vgig1_peg_471	Vgig2_peg_356	COSY_0458	Vmar_0462	BSEPE_0957	BGC33_09030	AZO1586R_2316	Gsub_1387	CRN91_06295	W908_04005	EYG05_04530	Tper_0343	H8D41_00445
SP60_00195	MS2017_1192	Rmag_0495	HUE58_RS02170	Rpac_peg_901	Rpha_peg_276	Rpli_peg_1231	Rrec_peg_1151	Rsou_peg_1692	Vdia_peg_521	Vext_peg_508	Vsoy1_peg_485	Vsoy2_peg_684	Vgig1_peg_474	Vgig2_peg_359	COSY_0455	Vmar_0459	BSEPE_0960	BGC33_07940	AZO1586R_2504	Gsub_1390	CRN91_06305	W908_03995	EYG05_04545	Tper_1441	H8D41_00430
SP60_00215	MS2017_1218	Rmag_0491	HUE58_RS02150	Rpac_peg_905	Rpha_peg_286	Rpli_peg_1235	Rrec_peg_1147	Rsou_peg_1688	Vdia_peg_524	Vext_peg_511	Vsoy1_peg_482	Vsoy2_peg_681	Vgig1_peg_477	Vgig2_peg_362	COSY_0452	Vmar_0456	BSEPE_0966	BGC33_15230	AZO1586R_1592	Gsub_0427	CRN91_06325	W908_03975	EYG05_08035	Tper_0907	H8D41_03505
SP60_00220	MS2017_1219	Rmag_0490	HUE58_RS02145	Rpac_peg_906	Rpha_peg_287	Rpli_peg_1236	Rrec_peg_1146	Rsou_peg_1340	Vdia_peg_525	Vext_peg_512	Vsoy1_peg_481	Vsoy2_peg_680	Vgig1_peg_478	Vgig2_peg_363	COSY_0451	Vmar_0455	BSEPE_0967	BGC33_15220	AZO1586R_1594	Gsub_0957	CRN91_06330	W908_03970	EYG05_08030	Tper_0906	H8D41_03510
