	T_autotrophicus	B_thermophilus_symbiont	R_fausta	R_magnifica	R_pacifica	R_phaseoliformis	R_pliocardia	R_rectimargo	R_southwardae	V_diagonalis	V_extenta	V_gigas1	V_gigas2	V_marissinica	V_okutanii	V_soyoae1	V_soyoae2	Genome_Count	Gene	Function
OG0000000		MS2017_0039, MS2017_0041, MS2017_0043, MS2017_0045, MS2017_0046, MS2017_0048, MS2017_0049, MS2017_0052, MS2017_0053, MS2017_0056, MS2017_0057, MS2017_0059, MS2017_0061, MS2017_0120, MS2017_0121, MS2017_0327, MS2017_0334, MS2017_0337, MS2017_0463, MS2017_0464, MS2017_0465, MS2017_0466, MS2017_0510, MS2017_0678, MS2017_0743, MS2017_0909_pseudo, MS2017_0942, MS2017_0943, MS2017_1023_pseudo, MS2017_1294, MS2017_1303, MS2017_1309, MS2017_1313, MS2017_1415, MS2017_1416_pseudo, MS2017_1422, MS2017_1434, MS2017_1490, MS2017_1492, MS2017_1493, MS2017_1494_pseudo, MS2017_1615_pseudo, MS2017_1616_pseudo, MS2017_1617_pseudo, MS2017_1619_pseudo, MS2017_1822, MS2017_1908, MS2017_1913, MS2017_2067				Rpha_peg_852_pseudo			Rsou_peg_269_pseudo, Rsou_peg_270_pseudo									3		Chitinase (EC 3.2.1.14)
OG0000001		MS2017_0152, MS2017_0289, MS2017_0313_pseudo, MS2017_0348, MS2017_0366, MS2017_0385_pseudo, MS2017_0423_pseudo, MS2017_0437_pseudo, MS2017_0516_pseudo, MS2017_0519_pseudo, MS2017_0526_pseudo, MS2017_0529, MS2017_0606_pseudo, MS2017_0744, MS2017_0775, MS2017_0786, MS2017_0911, MS2017_0965, MS2017_1104, MS2017_1179_pseudo, MS2017_1203_pseudo, MS2017_1206, MS2017_1209, MS2017_1212, MS2017_1302_pseudo, MS2017_1418, MS2017_1426, MS2017_1560_pseudo, MS2017_1618, MS2017_1634_pseudo, MS2017_1637, MS2017_1689_pseudo, MS2017_1720_pseudo, MS2017_1880, MS2017_1928, MS2017_1932, MS2017_1997_pseudo, MS2017_2002_pseudo, MS2017_2092_pseudo, MS2017_2094, MS2017_2124, MS2017_2182_pseudo																1		Hypothetical protein
OG0000002	SP60_00725, SP60_00730, SP60_00735, SP60_03970	MS2017_1390, MS2017_1391	HUE58_RS01650, HUE58_RS05600	Rmag_0424, Rmag_1074	Rpac_peg_1459, Rpac_peg_2	Rpha_peg_449, Rpha_peg_450, Rpha_peg_992	Rpli_peg_1652, Rpli_peg_1653, Rpli_peg_1655	Rrec_peg_1036, Rrec_peg_695	Rsou_peg_1429, Rsou_peg_626, Rsou_peg_627	Vdia_peg_584, Vdia_peg_988	Vext_peg_572, Vext_peg_976	Vgig1_peg_4, Vgig1_peg_542	Vgig2_peg_427, Vgig2_peg_963	Vmar_0392, Vmar_0979	COSY_0393, COSY_0973	Vsoy1_peg_21, Vsoy1_peg_420	Vsoy2_peg_225, Vsoy2_peg_619	17		Prion protein
OG0000003		MS2017_0051, MS2017_0054, MS2017_0126, MS2017_0232, MS2017_0303, MS2017_0335, MS2017_0414, MS2017_0522, MS2017_0531_pseudo, MS2017_0604_pseudo, MS2017_0708, MS2017_0803, MS2017_0825_pseudo, MS2017_0983, MS2017_1024_pseudo, MS2017_1077, MS2017_1106, MS2017_1182_pseudo, MS2017_1183_pseudo, MS2017_1270, MS2017_1334, MS2017_1336, MS2017_1349, MS2017_1374, MS2017_1532, MS2017_1549, MS2017_1821, MS2017_1884, MS2017_1891, MS2017_1900, MS2017_1907, MS2017_1910, MS2017_1912							Rsou_peg_373, Rsou_peg_374_pseudo									2		Mobile element protein
OG0000004	SP60_05230, SP60_05990	MS2017_0448, MS2017_1853	HUE58_RS00010, HUE58_RS03990	Rmag_0163, Rmag_0818	Rpac_peg_1023, Rpac_peg_237	Rpha_peg_1579, Rpha_peg_1996	Rpli_peg_418, Rpli_peg_69	Rrec_peg_343, Rrec_peg_924	Rsou_peg_1184, Rsou_peg_1251	Vdia_peg_208, Vdia_peg_818	Vext_peg_203, Vext_peg_807	Vgig1_peg_171, Vgig1_peg_765	Vgig2_peg_61, Vgig2_peg_654	Vmar_0163, Vmar_0757	COSY_0167, COSY_0744	Vsoy1_peg_188, Vsoy1_peg_784	Vsoy2_peg_393, Vsoy2_peg_985	17	tufA	Translation elongation factor Tu
OG0000005	SP60_06775	MS2017_1570	HUE58_RS03440_pseudo, HUE58_RS03450_pseudo		Rpac_peg_1143_pseudo	Rpha_peg_656_pseudo, Rpha_peg_657_pseudo, Rpha_peg_658_pseudo, Rpha_peg_659_pseudo, Rpha_peg_661_pseudo, Rpha_peg_663_pseudo	Rpli_peg_224_pseudo, Rpli_peg_225_pseudo, Rpli_peg_227_pseudo	Rrec_peg_1442_pseudo, Rrec_peg_1445_pseudo, Rrec_peg_1446_pseudo, Rrec_peg_1448_pseudo, Rrec_peg_1449	Rsou_peg_191_pseudo, Rsou_peg_192_pseudo, Rsou_peg_194_pseudo, Rsou_peg_196_pseudo, Rsou_peg_197_pseudo, Rsou_peg_198_pseudo, Rsou_peg_199_pseudo	Vdia_peg_320	Vext_peg_312	Vgig1_peg_274	Vgig2_peg_162	Vmar_0657	COSY_0649	Vsoy1_peg_685	Vsoy2_peg_885	16	narG	Respiratory nitrate reductase alpha chain (EC 1.7.99.4)
OG0000006		MS2017_0024, MS2017_0109, MS2017_0446, MS2017_0513, MS2017_0514, MS2017_0517, MS2017_0520, MS2017_0523, MS2017_0527, MS2017_0530, MS2017_0532, MS2017_0533, MS2017_0534, MS2017_0535, MS2017_0611_pseudo, MS2017_0707, MS2017_0864_pseudo, MS2017_1198, MS2017_1199, MS2017_1201, MS2017_1202, MS2017_1205, MS2017_1208, MS2017_1211, MS2017_1214, MS2017_1216, MS2017_1254, MS2017_1255, MS2017_1510, MS2017_1512, MS2017_1659, MS2017_1956_pseudo					Rpli_peg_419_pseudo											2		Cadherin domain protein
OG0000007	SP60_06375	MS2017_0574	HUE58_RS00350_pseudo, HUE58_RS00355_pseudo, HUE58_RS00360_pseudo	Rmag_0762	Rpac_peg_314_pseudo	Rpha_peg_2111	Rpli_peg_329	Rrec_peg_262_pseudo, Rrec_peg_263_pseudo, Rrec_peg_264_pseudo	Rsou_peg_1080	Vdia_peg_257_pseudo, Vdia_peg_258_pseudo, Vdia_peg_259_pseudo	Vext_peg_252_pseudo, Vext_peg_253_pseudo, Vext_peg_254_pseudo	Vgig1_peg_216_pseudo, Vgig1_peg_217_pseudo, Vgig1_peg_219_pseudo	Vgig2_peg_104_pseudo, Vgig2_peg_105_pseudo, Vgig2_peg_107_pseudo	Vmar_0715		Vsoy1_peg_741_pseudo	Vsoy2_peg_941_pseudo	16	corC	Lytic transglycosylase
OG0000008	SP60_01075, SP60_07090	MS2017_0736, MS2017_1468	HUE58_RS01375, HUE58_RS03220	Rmag_0380	Rpac_peg_1187, Rpac_peg_549	Rpha_peg_1284, Rpha_peg_530	Rpli_peg_476, Rpli_peg_732	Rrec_peg_1391, Rrec_peg_48	Rsou_peg_2010, Rsou_peg_330, Rsou_peg_850	Vdia_peg_370	Vext_peg_359	Vgig1_peg_321	Vgig2_peg_208	Vmar_0611	COSY_0604	Vsoy1_peg_639	Vsoy2_peg_839	17	hupB	DNA-binding protein HU-beta
OG0000009	SP60_00670	MS2017_1265	HUE58_RS01700	Rmag_0426	Rpac_peg_1012	Rpha_peg_427	Rpli_peg_1337	Rrec_peg_1048	Rsou_peg_387	Vdia_peg_579_pseudo, Vdia_peg_580_pseudo, Vdia_peg_581_pseudo	Vext_peg_567_pseudo, Vext_peg_568_pseudo, Vext_peg_569_pseudo	Vgig1_peg_537_pseudo, Vgig1_peg_538_pseudo, Vgig1_peg_539_pseudo	Vgig2_peg_422_pseudo, Vgig2_peg_423_pseudo, Vgig2_peg_424_pseudo	Vmar_0395_pseudo, Vmar_0396_pseudo		Vsoy1_peg_423_pseudo	Vsoy2_peg_622_pseudo	16	uvrB	Excinuclease ABC subunit B
OG0000010	SP60_00750	MS2017_1394		Rmag_0422_pseudo	Rpac_peg_1411_pseudo, Rpac_peg_1412_pseudo, Rpac_peg_1413_pseudo, Rpac_peg_1414_pseudo	Rpha_peg_459	Rpli_peg_1649	Rrec_peg_1028_pseudo, Rrec_peg_1030_pseudo, Rrec_peg_1031_pseudo	Rsou_peg_630	Vdia_peg_586_pseudo, Vdia_peg_587_pseudo, Vdia_peg_588_pseudo	Vext_peg_574_pseudo, Vext_peg_575_pseudo, Vext_peg_576_pseudo	Vgig1_peg_544_pseudo	Vgig2_peg_429_pseudo	Vmar_0389_pseudo	COSY_0391_pseudo	Vsoy1_peg_417_pseudo	Vsoy2_peg_617_pseudo	16		Hypothetical protein
OG0000011		MS2017_0323			Rpac_peg_536_pseudo, Rpac_peg_537_pseudo, Rpac_peg_538_pseudo, Rpac_peg_539	Rpha_peg_555	Rpli_peg_709_pseudo, Rpli_peg_710_pseudo, Rpli_peg_711_pseudo, Rpli_peg_712_pseudo, Rpli_peg_713		Rsou_peg_2026_pseudo, Rsou_peg_2027_pseudo, Rsou_peg_2028_pseudo	Vdia_peg_630	Vext_peg_619	Vgig1_peg_585	Vgig2_peg_470_pseudo, Vgig2_peg_471_pseudo, Vgig2_peg_472_pseudo	Vmar_0347	COSY_0333_pseudo	Vsoy1_peg_372	Vsoy2_peg_575	13		Hypothetical protein
OG0000012	SP60_04290	MS2017_0091	HUE58_RS05950	Rmag_0047	Rpac_peg_168	Rpha_peg_793	Rpli_peg_1514	Rrec_peg_765	Rsou_peg_589_pseudo, Rsou_peg_590_pseudo	Vdia_peg_933_pseudo, Vdia_peg_934_pseudo, Vdia_peg_935_pseudo	Vext_peg_922_pseudo, Vext_peg_923_pseudo	Vgig1_peg_59	Vgig2_peg_909	Vmar_0051	COSY_0051_pseudo, COSY_0052_pseudo	Vsoy1_peg_76_pseudo, Vsoy1_peg_78_pseudo	Vsoy2_peg_279_pseudo, Vsoy2_peg_281_pseudo	17		Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)
OG0000013		MS2017_0343, MS2017_1638	HUE58_RS00510_pseudo, HUE58_RS03510_pseudo	Rmag_0708	Rpac_peg_353	Rpha_peg_2172_pseudo, Rpha_peg_631	Rpli_peg_248	Rrec_peg_1465_pseudo, Rrec_peg_1466_pseudo, Rrec_peg_1467_pseudo, Rrec_peg_231_pseudo, Rrec_peg_232_pseudo	Rsou_peg_1035_pseudo, Rsou_peg_220	Vdia_peg_309	Vext_peg_301	Vgig1_peg_263	Vgig2_peg_151	Vmar_0668	COSY_0659	Vsoy1_peg_696	Vsoy2_peg_896	16	cueO	Multicopper oxidase
OG0000014	SP60_03655	MS2017_0344	HUE58_RS05325	Rmag_1028	Rpac_peg_824	Rpha_peg_351, Rpha_peg_872	Rpli_peg_1068	Rrec_peg_628	Rsou_peg_1348_pseudo, Rsou_peg_1350_pseudo, Rsou_peg_394	Vdia_peg_29	Vext_peg_26	Vgig1_peg_948_pseudo, Vgig1_peg_949_pseudo, Vgig1_peg_950_pseudo, Vgig1_peg_951_pseudo	Vgig2_peg_832	Vmar_0934	COSY_0930	Vsoy1_peg_966	Vsoy2_peg_181	17	copB	Type cbb3 cytochrome oxidase biogenesis protein CcoI; Copper-translocating P-type ATPase (EC 3.6.3.4)
OG0000015	SP60_03800	MS2017_2127	HUE58_RS05470	Rmag_1053	Rpac_peg_860	Rpha_peg_916	Rpli_peg_1108	Rrec_peg_666	Rsou_peg_1601	Vdia_peg_1009, Vdia_peg_1017	Vext_peg_996, Vext_peg_997	Vgig1_peg_984, Vgig1_peg_985	Vgig2_peg_983, Vgig2_peg_984	Vmar_0957, Vmar_0958	COSY_0953	Vsoy1_peg_1, Vsoy1_peg_992	Vsoy2_peg_206	17	sqrI	FAD-dependent pyridine nucleotide-disulphide oxidoreductase
