,Gene,p0.01,p0.05,p0.1,AICctest
0,Rmag_0947,1,1,1,0
1,Rmag_0113,0,0,0,1
2,Rmag_0834,1,1,1,0
3,Rmag_0188,,,,0
4,Rmag_0592,0,0,0,1
5,Rmag_0874,0,0,0,0
6,Rmag_0607,0,0,0,0
7,Rmag_0549,,,,0
8,Rmag_0774,,,,0
9,Rmag_0153,0,0,1,0
10,Rmag_0286,,,,0
11,Rmag_1076,0,1,1,0
12,Rmag_0421,0,0,0,0
13,Rmag_0206,0,1,1,0
14,Rmag_0987,0,0,1,0
15,Rmag_0246,,,,0
16,Rmag_0512,,,,0
17,Rmag_0108,0,0,0,0
18,Rmag_0691,0,0,0,0
19,Rmag_0363,,,,0
20,Rmag_0544,0,0,0,0
21,Rmag_0879,0,0,0,0
22,Rmag_0437,0,0,0,1
23,Rmag_0991,0,0,0,0
24,Rmag_0839,0,0,0,0
25,Rmag_0250,0,0,0,0
26,Rmag_0477,0,0,0,1
27,Rmag_0185,0,0,0,0
28,Rmag_1020,0,0,0,1
29,Rmag_0504,,,,0
30,Rmag_0323,0,0,0,1
31,Rmag_0739,0,0,0,0
32,Rmag_0951,0,0,0,0
33,Rmag_0338,0,0,0,0
34,Rmag_0105,0,0,0,1
35,Rmag_0822,0,0,0,0
36,Rmag_0584,0,0,0,0
37,Rmag_0651,0,0,0,0
38,Rmag_0862,0,0,1,0
39,Rmag_0611,0,1,2,1
40,Rmag_0911,0,0,0,0
41,Rmag_0378,,,,0
42,Rmag_0290,0,1,1,0
43,Rmag_0855,0,1,1,0
44,Rmag_0626,0,0,0,0
45,Rmag_0001,,,,0
46,Rmag_0568,1,1,1,0
47,Rmag_0926,1,1,1,0
48,Rmag_0172,,,,0
49,Rmag_0755,0,0,1,0
50,Rmag_0966,0,0,0,0
51,Rmag_0132,0,1,1,0
52,Rmag_0815,0,1,1,0
53,Rmag_0394,0,0,1,1
54,Rmag_0666,0,0,1,0
55,Rmag_0267,,,,0
56,Rmag_0314,0,0,0,0
57,Rmag_0533,0,0,0,1
58,Rmag_0573,0,0,0,0
59,Rmag_0354,0,1,1,0
60,Rmag_0169,,,,0
61,Rmag_0227,0,0,0,1
62,Rmag_0456,0,3,3,0
63,Rmag_0271,0,0,0,0
64,Rmag_0783,0,1,1,1
65,Rmag_1001,0,0,1,1
66,Rmag_0302,0,0,0,0
67,Rmag_0883,0,0,0,0
68,Rmag_1041,0,0,0,0
69,Rmag_0097,0,0,0,0
70,Rmag_0565,0,0,0,0
71,Rmag_0342,0,0,0,1
72,Rmag_0758,0,0,0,0
73,Rmag_0416,0,0,0,0
74,Rmag_0858,0,0,0,0
75,Rmag_0843,0,0,0,0
76,Rmag_0164,,,,0
77,Rmag_0743,0,1,1,0
78,Rmag_0496,0,0,1,1
79,Rmag_0319,,,,0
80,Rmag_0803,0,0,1,0
81,Rmag_0382,,,,0
82,Rmag_0510,,,,0
83,Rmag_0463,,,,0
84,Rmag_0244,0,0,0,1
85,Rmag_0191,,,,0
86,Rmag_0079,0,2,2,0
87,Rmag_0204,0,1,1,1
88,Rmag_0423,0,1,1,0
89,Rmag_0550,0,0,1,1
90,Rmag_0151,0,0,1,0
91,Rmag_0284,,,,0
92,Rmag_0876,,,,0
93,Rmag_0438,0,0,0,0
94,Rmag_0605,0,0,0,0
95,Rmag_0836,0,1,1,0
96,Rmag_0478,0,0,0,0
97,Rmag_0062,0,0,2,0
98,Rmag_0645,0,0,2,0
99,Rmag_0736,0,0,0,0
100,Rmag_0111,0,0,0,1
101,Rmag_0147,,,,0
102,Rmag_0292,0,0,0,0
103,Rmag_0860,0,1,1,1
104,Rmag_0613,0,1,1,0
105,Rmag_0249,0,0,0,0
106,Rmag_0953,0,0,2,0
