	dnds_mito	ds_mito	dn_mito	dnds_symb	ds_symb	dn_symb	Groups
Bathy-SUP05				0.05554035169708179	2.698479941782255	0.14987452501410725	F-F
Bathy-diagonalis	0.20833995187404397	8.022952569384943	1.6715015521933965	0.027069531233611305	6.155649813182107	0.16663055488110665	F-V
Bathy-extenta	0.19777399351011538	8.282004308145819	1.6379650662899787	0.026796154202036924	6.20562453747955	0.1662868720262461	F-V
Bathy-fausta	0.05642226555408453	12.285146597952174	0.6931558037205157	0.06525323047574566	2.2882762914093684	0.14931742023552005	F-R
Bathy-gigas1	0.019430033404986932	31.014828982041568	0.6026191631710245	0.029263841703650074	5.7580912860379305	0.1685038719097809	F-V
Bathy-gigas2	0.034100658009803456	19.777771344629254	0.6744350168192929	0.029143793197093603	5.766284320886911	0.16805139776357145	F-V
Bathy-magnifica	0.04797437585846944	13.763589640713931	0.6602996225853465	0.06008546395512	2.5871638398891834	0.1554509396476514	F-R
Bathy-mariana_ref	0.035676504882791026	18.717304702438735	0.667768012609243				F-V
Bathy-marissinica	0.07515822326042657	9.379260100682172	0.7049285246646816	0.03244000526285583	5.1543742626441125	0.16720792820690364	F-V
Bathy-okutanii	0.20289551278199225	8.150646502932164	1.6537296017171732	0.031481693438849774	5.290918334829135	0.16656706902708032	F-V
Bathy-pacifica	0.04177733747317263	16.210115848483206	0.677215480281307	0.06473958867674141	2.3198665568833023	0.15018720667755334	F-R
Bathy-phaseoliformis	0.035532135703088955	18.20622236092754	0.6469059635690899	0.06767666395212216	2.1400476700501416	0.14483128700750544	F-R
Bathy-phaseoliformis_ref	0.0527524787391793	12.662109633322615	0.6679576692250087				F-R
Bathy-pliocardia	0.05727827051872443	11.219269242875043	0.6426203387158014	0.06625683043933991	2.22950652191029	0.14772003558561256	F-R
Bathy-rectimargo	0.06538436476429443	10.615001858958394	0.6940551535197991	0.06518143612377193	2.2864793132163057	0.14903600530273456	F-R
Bathy-southwardae	0.04152520835600182	15.987335454786923	0.6638774358173221	0.06677736180009419	2.1440977004745667	0.14317718787934014	F-R
Bathy-soyoae1	0.0607572111630944	11.85064226376955	0.7200119744381376	0.04926382632418383	3.4048063241379176	0.16773378741981312	F-V
Bathy-soyoae2	0.06262582667337274	11.187094199847214	0.7006010223383252	0.03209927762947196	5.183867893378085	0.1663984147040491	F-V
SUP05-diagonalis				0.01742313009582713	9.052495180869716	0.1577228012281412	F-V
SUP05-extenta				0.015181140248867051	10.313760546722325	0.15657464535302332	F-V
SUP05-fausta				0.05424822302484039	2.533471569604558	0.13743633073500053	F-R
SUP05-gigas1				0.015310380055164207	10.218012376150847	0.15644165288724096	F-V
SUP05-gigas2				0.01464492680900829	10.731570280856255	0.1571630613088684	F-V
SUP05-magnifica				0.047872600148484004	2.995812874445964	0.14341735185803214	F-R
SUP05-marissinica				0.013281728688354987	11.744024006813202	0.1559809405680206	F-V
SUP05-okutanii				0.039431953433551714	3.9100374752683793	0.15418041564822485	F-V
SUP05-pacifica				0.053245541048647704	2.6019629333149172	0.13854292417287922	F-R
SUP05-phaseoliformis				0.05309733370972615	2.501647208435074	0.13283079665028197	F-R
SUP05-pliocardia				0.05306342546152046	2.5567323679839187	0.13566897743357137	F-R
SUP05-rectimargo				0.05385004410534869	2.5456825395408607	0.1370851170324914	F-R
SUP05-southwardae				0.05359169663377341	2.4478743361464983	0.1311857388203626	F-R
SUP05-soyoae1				0.04001077451630323	3.8434800809722303	0.15378061487768277	F-V
SUP05-soyoae2				0.039116890064995795	3.9353359827217345	0.15393810500494828	F-V
diagonalis-extenta	0.056514832156249244	0.4821854004254708	0.027250626973239316	3.3600911111487814e-05	3.8636719799331854e-05	1.2982289876168108e-09	V-V
diagonalis-fausta	0.030897910495074614	2.187236588502918	0.0675810403431155	0.07031699666907955	1.2739427238055576	0.08957982626643352	R-V
diagonalis-gigas1	0.05927547033384223	0.5009898116809461	0.029696406719851128	0.11447742735504861	0.18910977132467244	0.021648800108950043	V-V
diagonalis-gigas2	0.05321772953476424	0.38233578430126	0.020347042360406412	0.11410946811718836	0.189022609661322	0.021569269450576363	V-V
diagonalis-magnifica	0.023066891327176285	2.045827855108625	0.0471908888079008	0.09740663703160625	0.8899873796588542	0.08669067765314036	R-V
diagonalis-mariana_ref	0.020079065517336382	2.6159052031103127	0.0525249319603931				V-V
diagonalis-marissinica	0.05566017388468565	0.5241376679254081	0.02917359373624184	0.11443569373309037	0.18772021590088844	0.02148189313434367	V-V
diagonalis-okutanii	0.04683012683698407	0.5527273526303779	0.025884292029951017	0.11741211362742376	0.1705671110954502	0.02002664502904041	V-V
diagonalis-pacifica	0.027160481688266264	2.273538098450641	0.06175038989054433	0.0716854423118188	1.2590945238226425	0.09025874785261499	R-V
diagonalis-phaseoliformis	0.02034216931217063	2.5926008095027813	0.05273912462577621	0.09328918458637543	0.875522185198654	0.08167675074446401	R-V
diagonalis-phaseoliformis_ref	0.03017778885589837	1.7019032114187274	0.05135967576736972				R-V
diagonalis-pliocardia	0.018026330621711835	3.3969592386982175	0.061234710345252595	0.09472798981249614	0.9011583634036161	0.08536492026794344	R-V
diagonalis-rectimargo	0.029823462861269853	2.1840275282931336	0.06513526387804126	0.07001097718897914	1.2772236977251517	0.08941967916665919	R-V
diagonalis-southwardae	0.02035201224267621	2.6003199923494047	0.0529217443191708	0.09257391505371435	0.872447808155047	0.08076590928094458	R-V
diagonalis-soyoae1	0.04237799657985129	0.5607832023765689	0.02376486863235229	0.12119563504134581	0.16830914249871287	0.02039833340839587	V-V
diagonalis-soyoae2	0.04234386727658982	0.5601024413425062	0.02371690343750102	0.11562388038950772	0.1718819945735244	0.0198736631816792	V-V
extenta-fausta	0.0256714922461528	2.34397459716469	0.06017332569629247	0.07038383188248197	1.2730379916541557	0.08960129198459857	R-V
extenta-gigas1	0.05159248204116771	0.6376144751662456	0.0328961133592031	0.11438320048292262	0.18922407901609367	0.021644055766294235	V-V
extenta-gigas2	0.04109610940795073	0.5913575961437072	0.02430249647034453	0.11406433723324268	0.18910537861928525	0.021570179679450192	V-V
extenta-magnifica	0.027764798930362305	1.56941952954777	0.043574617675277635	0.09733999430340261	0.8905293212720149	0.08668411905963092	R-V
extenta-mariana_ref	0.02464990430762516	1.8520368448703326	0.04565253100024973				V-V
extenta-marissinica	0.06509001923808319	0.3735140598327095	0.02431203734020562	0.11446364741907733	0.187737117352292	0.021489075208086697	V-V
extenta-okutanii	0.05466541292522699	0.3476907382578492	0.019006657777142343	0.11695931887211228	0.17083786340800375	0.019981080141767072	V-V
extenta-pacifica	0.036177181099283764	1.5127742668757047	0.0547279086150986	0.07169915067443583	1.2589343841489737	0.09026452609832535	R-V
extenta-phaseoliformis	0.024831526193360307	1.8356815722979771	0.04558277504518605	0.0932354257777056	0.8756857803334794	0.08164493657687434	R-V
extenta-phaseoliformis_ref	0.02428099428983319	1.866942421358635	0.04533121827245636				R-V
extenta-pliocardia	0.017930656927537016	3.2288730998472546	0.057895815815914096	0.09633732710620536	0.8994196568511398	0.08664768568781923	R-V
extenta-rectimargo	0.02547524598672458	2.3535079593651544	0.05995619419654151	0.07005843412309185	1.2766802249849125	0.08944221743835958	R-V
extenta-southwardae	0.02417869365674931	1.8923132615748288	0.045753662654221906	0.09262129515626093	0.8720889299775326	0.08077400618595681	R-V
extenta-soyoae1	0.05742906913432933	0.3115760714951789	0.01789352375049937	0.12128886110398311	0.16823976407069127	0.020405609376536963	V-V
extenta-soyoae2	0.05720635053322368	0.3104530897487047	0.017759888276286752	0.11570133266392522	0.17171273484340782	0.01986739225674951	V-V
fausta-gigas1	0.03466801953063592	1.925316039329511	0.06674689405412208	0.06983558380793145	1.271915062728627	0.08882493095975542	R-V
fausta-gigas2	0.04082903551075979	1.4499416158610674	0.05919971772251995	0.06957026156660355	1.2752144066028985	0.08871699982086478	R-V
fausta-magnifica	0.04793978165605067	1.1724642218045802	0.05620767879284294	0.12994951671670743	0.4191171981372207	0.05446407734559234	R-R
fausta-mariana_ref	0.04337595534242777	1.2727696769075227	0.055207600666736925				R-V
fausta-marissinica	0.04346167752447194	1.43998112365094	0.06258399523744392	0.07062467591350685	1.268252878496946	0.08956994852021899	R-V
fausta-okutanii	0.04251441146058397	1.3916684760144735	0.05916596620600316	0.09740462796264712	0.8377273661101059	0.08159852243008314	R-V
fausta-pacifica	0.09035607482567415	0.5478582649232412	0.04950232237926839	0.24336008318045202	0.087755382008326	0.021356157065078558	R-R
fausta-phaseoliformis	0.044027310543665175	1.2337996284644133	0.054320879391061436	0.1458711563591889	0.23409656761377598	0.03414793701753855	R-R
fausta-phaseoliformis_ref	0.04439112847296973	1.2312331333108315	0.05465582820097819				R-R
fausta-pliocardia	0.037377998174138054	1.7117964274172834	0.06398352373849926	0.12506214347374198	0.34707808124387796	0.04340632879311294	R-R
fausta-rectimargo	0.08562821200240218	0.009117208262265069	0.0007806902419512862	0.8092800859176555	0.000392864801346575	0.0003179376601877789	R-R
fausta-southwardae	0.044017380620268685	1.2479275039978224	0.05493049992997402	0.11707164306872785	0.32775005889984155	0.03837023791127678	R-R
fausta-soyoae1	0.03999926726835933	1.4666912033210269	0.05866657344178931	0.09726655181915174	0.8431351559791941	0.08200884933959887	R-V
fausta-soyoae2	0.04023761475940284	1.4677553867588107	0.059058975813439336	0.09704176380514551	0.8437255278294788	0.08187661338800001	R-V
gigas1-gigas2	0.10077880450089796	0.13748119585514615	0.013855190559635437	3.403846239198696e-05	3.796597073530572e-05	1.2923032670489811e-09	V-V
gigas1-magnifica	0.026856321968162483	2.056574411913917	0.055232024557844574	0.09729447646443985	0.8858683413724252	0.08619009649025179	R-V
gigas1-mariana_ref	0.001801477970606597	30.65269585685627	0.055220156325830674				V-V
gigas1-marissinica	0.051460814431915004	0.6804916010086219	0.03501865200198144	0.1101550877416172	0.19820792706820642	0.02183361159728234	V-V
gigas1-okutanii	0.050257996735703865	0.6070470602740933	0.030508969173674006	0.108503113334347	0.17651556748816385	0.01915248862444482	V-V
gigas1-pacifica	0.030206868694752014	2.119157993219927	0.06401312724462851	0.07139210290083675	1.2553717100382584	0.08962362630185074	R-V
gigas1-phaseoliformis	0.012113251256673068	4.559204338201995	0.055226787679154614	0.09318520495276773	0.8676484314102657	0.08085199690791305	R-V
gigas1-phaseoliformis_ref	0.012031861503809192	4.643226429088599	0.05586665732562053				R-V
gigas1-pliocardia	0.0020358250304222127	30.1559215028054	0.06139217981085866	0.07031590167618906	1.2710634644117489	0.08937597358777277	R-V
gigas1-rectimargo	0.018453227521007674	3.647027070342397	0.0672994203043023	0.06956356788468133	1.2752109524547643	0.08870822365837615	R-V
gigas1-southwardae	0.0017522109139637791	31.26973133377148	0.05479116451974955	0.09250398378390175	0.8641265615629502	0.07993514943805792	R-V
gigas1-soyoae1	0.04898169012680432	0.6083244475735398	0.029796759587606546	0.10737323148406316	0.17792435080648866	0.019104312505796767	V-V
gigas1-soyoae2	0.050019048562450576	0.597541227754232	0.02988844368910527	0.10704578659789635	0.17798840422191142	0.019052908735238842	V-V
gigas2-magnifica	0.01772878322425964	2.4798395104561513	0.04396453711183125	0.09698250475819363	0.8872350946213652	0.08604628178575292	R-V
gigas2-mariana_ref	0.028250300982993765	1.675757638444877	0.04734065766061862				V-V
gigas2-marissinica	0.041482056675847576	0.6312322926057791	0.026184813737498126	0.10951457103279076	0.1981678581662835	0.02170226797956746	V-V
gigas2-okutanii	0.039579761062438434	0.5533991757359751	0.02190340714778027	0.10833379054466143	0.17632246313965627	0.01910168079009031	V-V
gigas2-pacifica	0.035291997965089465	1.6041766750220259	0.05661459995052132	0.07116434947260827	1.258000126850938	0.08952476066380569	R-V
gigas2-phaseoliformis	0.030104280323934265	1.5835983291885174	0.04767308802240506	0.09291876564592749	0.8691157487984529	0.08075716258178824	R-V
gigas2-phaseoliformis_ref	0.030626296341906625	1.5330096369588713	0.046950407436501085				R-V
gigas2-pliocardia	0.015665764657108457	3.5832730529239925	0.0561347123492658	0.07009762077988689	1.273513806223463	0.08927028784660267	R-V
gigas2-rectimargo	0.0406169275425206	1.4500795767213521	0.0588977770985801	0.0692719977170901	1.2788098802929215	0.08858571510824352	R-V
gigas2-southwardae	0.02950091636026502	1.6132044696742147	0.047591010131864696	0.09215408398997607	0.8660896129553278	0.07981369493513114	R-V
gigas2-soyoae1	0.038946450396116467	0.5433903588550102	0.02116312565687458	0.10735251339800962	0.17766835014433974	0.019073143939272497	V-V
gigas2-soyoae2	0.03908207645293697	0.541920445117069	0.021179376267474927	0.1075509105217391	0.17769920951832738	0.019111711782689396	V-V
magnifica-mariana_ref	0.023175561903786807	1.8288919915948463	0.0423855995665463				R-V
magnifica-marissinica	0.02319868551449419	2.0134647805592305	0.04670973623870364	0.06876061124267616	1.3423269740368424	0.09229922322230517	R-V
magnifica-okutanii	0.02998612287765179	1.4741365935647261	0.04420364103307491	0.09812813508200492	0.8618441196312873	0.08457115619081057	R-V
magnifica-pacifica	0.02996809500797247	1.7914470738467483	0.053686256110793626	0.12969549428657803	0.4315957184862052	0.055976020041039166	R-R
magnifica-phaseoliformis	0.02889927078348354	1.4009218722446015	0.04048562053250147	0.12359345376984897	0.3984199516875291	0.049242097879878086	R-R
magnifica-phaseoliformis_ref	0.022560042765308836	1.8580537624755487	0.04191777234169136				R-R
magnifica-pliocardia	0.5862129922907089	0.4189920219236454	0.24561856691779443	0.1340506187439365	0.3877257690282951	0.051974879241211566	R-R
magnifica-rectimargo	0.04743299186865243	1.1815620583560826	0.0560450235063123	0.12966831527450567	0.4196729301004192	0.054418281812436735	R-R
magnifica-southwardae	0.03068841720903662	1.352273936103464	0.04149914673204923	0.13088970648990714	0.3361409253877253	0.04399738706324514	R-R
magnifica-soyoae1	0.030329877210887462	1.451739905224288	0.04403109306759806	0.09684650273186575	0.8706695760027735	0.084321303470905	R-V
magnifica-soyoae2	0.030317314881788977	1.4527027615021473	0.04404204705010499	0.09653390606356828	0.8712751126580557	0.08410758988085762	R-V
mariana_ref-marissinica	0.01915432468654809	2.5699150073509354	0.04922498646763244				V-V
mariana_ref-okutanii	0.01893737460405681	2.5074937060726814	0.047485347629213095				V-V
mariana_ref-pacifica	0.039487054613044845	1.2825956565691758	0.050645924737401156				R-V
mariana_ref-phaseoliformis	0.038910632092500924	0.17510491925580274	0.006813443090749621				R-V
mariana_ref-phaseoliformis_ref	0.0371295617198079	0.17797455077377808	0.0066081170675100775				R-V
mariana_ref-pliocardia	0.028095465694412874	1.7887439763384498	0.050255595023304594				R-V
mariana_ref-rectimargo	0.04450952700035268	1.2453767295040499	0.05543112916747143				R-V
mariana_ref-southwardae	0.03915981898244221	0.1812740423195776	0.007098658683450228				R-V
mariana_ref-soyoae1	0.019161378269879667	2.46607686033082	0.04725343156339605				V-V
mariana_ref-soyoae2	0.01926353604896176	2.4530478967071727	0.047254376588048444				V-V
marissinica-okutanii	0.06213314207736517	0.35526363430318425	0.02207364586508085	0.11028951585808991	0.18409719638595756	0.020303990660238958	V-V
marissinica-pacifica	0.027162453437997468	2.2648858867284534	0.061519857440639224	0.0719077041511199	1.2557977052760936	0.0903015298646486	R-V
marissinica-phaseoliformis	0.030226646998392462	1.5966606230891867	0.0482616970303502	0.09309782337558499	0.8784974906966923	0.08178620422477527	R-V
marissinica-phaseoliformis_ref	0.03237724909242327	1.506447454441212	0.04877462447709007				R-V
marissinica-pliocardia	0.018339934998249825	3.3119778632683015	0.06074145872798299	0.09492070282646688	0.9038862214981981	0.08579751541976847	R-V
marissinica-rectimargo	0.04398609872224347	1.4281160618637931	0.06281725408396237	0.07049087379158299	1.269744744131761	0.0895054165061178	R-V
marissinica-southwardae	0.029743639561561352	1.6409161366645157	0.04880681811969911	0.09137612615719715	0.8818036204362301	0.08057579886685415	R-V
marissinica-soyoae1	0.052231942868279965	0.39878480004665245	0.0208293048927752	0.11007245047129682	0.1836404230826689	0.020213751374295066	V-V
