	SUP05	R.magnifica	Bathy_complete_with_CRISPRannot	Bathysepcomplete_AP013042	Bathyther_MIQH01	Bathyazo_CAESAP02	Sponge_JYIN01	ThioNP1complete_CP023860	ThiosingularisPS1complete_CP006911	Thioautotrophicus_DQLA01	Thioperditus_PNQY01	Thiopontius_JACNGB01	Count
0	SP60_00005	Rmag_0520	MS2017_1093	BSEPE_0862	BGC33_15465	AZO1586R_502	Gsub_0109	CRN91_05955	W908_04350	EYG05_01595	Tper_1314	H8D41_05005	12
2	SP60_00025	Rmag_0515	MS2017_1096	BSEPE_0937	BGC33_15445	AZO1586R_505	Gsub_0305	CRN91_05935	W908_04370	EYG05_01615	Tper_1318	H8D41_05025	12
3	SP60_00030	Rmag_0514	MS2017_1097	BSEPE_0938	BGC33_15440	AZO1586R_506	Gsub_0306	CRN91_05930	W908_04375	EYG05_01620	Tper_1319	H8D41_05030	12
4	SP60_00035	Rmag_0513	MS2017_1098	BSEPE_0939	BGC33_15435	AZO1586R_507	Gsub_0307	CRN91_05925	W908_04380	EYG05_01625	Tper_1320	H8D41_05035	12
6	SP60_00045	Rmag_0511	MS2017_1100	BSEPE_0941	BGC33_15425	AZO1586R_509	Gsub_0309	CRN91_05915	W908_04390	EYG05_01635	Tper_1322	H8D41_06690	12
7	SP60_00050	Rmag_0510	MS2017_1101	BSEPE_0942	BGC33_15420	AZO1586R_510	Gsub_0310	CRN91_05910	W908_04395	EYG05_01705	Tper_1323	H8D41_06695	12
10	SP60_00135	Rmag_0506	MS2017_1167	BSEPE_0947	BGC33_09075	AZO1586R_1683	Gsub_1240	CRN91_06260	W908_04040	EYG05_07180	Tper_0335	H8D41_00490	12
11	SP60_00140	Rmag_0505	MS2017_1168	BSEPE_0948	BGC33_09070	AZO1586R_1684	Gsub_1241	CRN91_06265	W908_04035	EYG05_07175	Tper_0336	H8D41_00485	12
12	SP60_00145	Rmag_0504	MS2017_1169	BSEPE_0949	BGC33_09065	AZO1586R_1685	Gsub_1242	CRN91_06270	W908_04030	EYG05_07170	Tper_0337	H8D41_00480	12
13	SP60_00160	Rmag_0501	MS2017_1174	BSEPE_0954	BGC33_09045	AZO1586R_2313	Gsub_0300	CRN91_06280	W908_04020	EYG05_07155	Tper_0340	H8D41_00465	12
14	SP60_00180	Rmag_0498	MS2017_1177	BSEPE_0957	BGC33_09030	AZO1586R_2316	Gsub_1387	CRN91_06295	W908_04005	EYG05_04530	Tper_0343	H8D41_00445	12
17	SP60_00195	Rmag_0495	MS2017_1192	BSEPE_0960	BGC33_07940	AZO1586R_2504	Gsub_1390	CRN91_06305	W908_03995	EYG05_04545	Tper_1441	H8D41_00430	12
19	SP60_00210	Rmag_0492	MS2017_1217	BSEPE_0965	BGC33_15235	AZO1586R_1591	Gsub_0428	CRN91_06320	W908_03980	EYG05_08040	Tper_0908	H8D41_03500	12
20	SP60_00215	Rmag_0491	MS2017_1218	BSEPE_0966	BGC33_15230	AZO1586R_1592	Gsub_0427	CRN91_06325	W908_03975	EYG05_08035	Tper_0907	H8D41_03505	12
21	SP60_00220	Rmag_0490	MS2017_1219	BSEPE_0967	BGC33_15220	AZO1586R_1594	Gsub_0957	CRN91_06330	W908_03970	EYG05_08030	Tper_0906	H8D41_03510	12
23	SP60_00235	Rmag_0487	MS2017_1222	BSEPE_0970	BGC33_15205	AZO1586R_1597	Gsub_0954	CRN91_06340	W908_03960	EYG05_08010	Tper_0903	H8D41_03525	12
25	SP60_00250	Rmag_0485	MS2017_1239	BSEPE_0735	BGC33_15125	AZO1586R_2326	Gsub_0618	CRN91_06405	W908_03890	EYG05_07995	Tper_0900	H8D41_03540	12
26	SP60_00255	Rmag_0484	MS2017_1240	BSEPE_0734	BGC33_15120	AZO1586R_2327	Gsub_0619	CRN91_06410	W908_03885	EYG05_01640	Tper_0899	H8D41_03545	12
27	SP60_00260	Rmag_0483	MS2017_1241	BSEPE_0733	BGC33_15115	AZO1586R_2328	Gsub_0620	CRN91_06415	W908_03880	EYG05_01645	Tper_0898	H8D41_03550	12
28	SP60_00265	Rmag_0482	MS2017_1242	BSEPE_0732	BGC33_15110	AZO1586R_2329	Gsub_0621	CRN91_06420	W908_03875	EYG05_01650	Tper_0897	H8D41_03555	12
29	SP60_00280	Rmag_0480	MS2017_1245	BSEPE_0729	BGC33_15095	AZO1586R_2333	Gsub_0623	CRN91_06435	W908_03860	EYG05_01665	Tper_0894	H8D41_03570	12
31	SP60_00300	Rmag_0476	MS2017_1249	BSEPE_0725	BGC33_15075	AZO1586R_2337	Gsub_0627	CRN91_06455	W908_03840	EYG05_07530	Tper_0890	H8D41_03590	12
34	SP60_00325	Rmag_0471	MS2017_0850	BSEPE_0544	BGC33_12185	AZO1586R_486	Gsub_0436	CRN91_06475	W908_03820	EYG05_07555	Tper_0885	H8D41_03615	12
35	SP60_00335	Rmag_0470	MS2017_0848	BSEPE_0542	BGC33_12195	AZO1586R_484	Gsub_0438	CRN91_06480	W908_03815	EYG05_07565	Tper_0883	H8D41_03625	12
38	SP60_00365	Rmag_0466	MS2017_0844	BSEPE_0538	BGC33_12220	AZO1586R_479	Gsub_0441	CRN91_06495	W908_03785	EYG05_07590	Tper_0879	H8D41_05720	12
39	SP60_00400	Rmag_0464	MS2017_1145	BSEPE_0532	BGC33_15250	AZO1586R_861	Gsub_0445	CRN91_06510	W908_03770	EYG05_07640	Tper_0870	H8D41_05760	12
42	SP60_00440	Rmag_0458	MS2017_0896	BSEPE_0828	BGC33_11605	AZO1586R_986	Gsub_0829	CRN91_06620	W908_03715	EYG05_07460	Tper_1150	H8D41_05795	12
44	SP60_00465	Rmag_0454	MS2017_0892	BSEPE_0824	BGC33_11625	AZO1586R_1116	Gsub_0432	CRN91_06665	W908_03605	EYG05_06160	Tper_0923	H8D41_04745	12
45	SP60_00475	Rmag_0453	MS2017_0890	BSEPE_0822	BGC33_11635	AZO1586R_1114	Gsub_0430	CRN91_06670	W908_03600	EYG05_06170	Tper_0925	H8D41_04735	12
46	SP60_00480	Rmag_0452	MS2017_0889	BSEPE_0821	BGC33_11640	AZO1586R_1113	Gsub_0429	CRN91_06675	W908_03595	EYG05_06175	Tper_0926	H8D41_04730	12
48	SP60_00495	Rmag_0449	MS2017_0876	BSEPE_0569	BGC33_09380	AZO1586R_1110	Gsub_1425	CRN91_06690	W908_03580	EYG05_06190	Tper_0929	H8D41_04715	12
49	SP60_00500	Rmag_0448	MS2017_0874	BSEPE_0568	BGC33_09385	AZO1586R_1109	Gsub_1426	CRN91_06695	W908_03575	EYG05_06195	Tper_0930	H8D41_04710	12
50	SP60_00505	Rmag_0447	MS2017_0873	BSEPE_0567	BGC33_09390	AZO1586R_1108	Gsub_1427	CRN91_06700	W908_03570	EYG05_06200	Tper_0931	H8D41_04705	12
51	SP60_00510	Rmag_0446	MS2017_0872	BSEPE_0566	BGC33_09395	AZO1586R_1107	Gsub_1428	CRN91_06705	W908_03565	EYG05_06205	Tper_0932	H8D41_04700	12
60	SP60_00555	Rmag_0437	MS2017_0857	BSEPE_0556	BGC33_12150	AZO1586R_1097	Gsub_0484	CRN91_06750	W908_03520	EYG05_06250	Tper_0941	H8D41_00380	12
61	SP60_00565	Rmag_0435	MS2017_0855	BSEPE_0554	BGC33_12160	AZO1586R_1095	Gsub_0486	CRN91_06760	W908_03510	EYG05_06260	Tper_0944	H8D41_00370	12
65	SP60_00670	Rmag_0426	MS2017_1265	BSEPE_0713	BGC33_06000	AZO1586R_252	Gsub_1407	CRN91_06840	W908_03375	EYG05_05490	Tper_0187	H8D41_00285	12
66	SP60_00675	Rmag_0425	MS2017_1266	BSEPE_0712	BGC33_06005	AZO1586R_253	Gsub_1406	CRN91_06845	W908_03370	EYG05_05495	Tper_0186	H8D41_00280	12
69	SP60_00760	Rmag_0420	MS2017_1396	BSEPE_0755	BGC33_06825	AZO1586R_622	Gsub_0037	CRN91_07065	W908_03085	EYG05_03880	Tper_0828	H8D41_05835	12
71	SP60_00775	Rmag_0417	MS2017_1398	BSEPE_0753	BGC33_07705	AZO1586R_624	Gsub_0035	CRN91_07080	W908_03070	EYG05_03895	Tper_0831	H8D41_05850	12
72	SP60_00780	Rmag_0416	MS2017_1399	BSEPE_0752	BGC33_07710	AZO1586R_625	Gsub_0034	CRN91_07085	W908_03065	EYG05_03900	Tper_0832	H8D41_05855	12
73	SP60_00785	Rmag_0415	MS2017_1406	BSEPE_0751	BGC33_12960	AZO1586R_627	Gsub_0033	CRN91_07090	W908_03060	EYG05_03905	Tper_0833	H8D41_05865	12
74	SP60_00790	Rmag_0414	MS2017_1407	BSEPE_0750	BGC33_12955	AZO1586R_628	Gsub_0032	CRN91_07095	W908_03055	EYG05_03910	Tper_0834	H8D41_05870	12
75	SP60_00795	Rmag_0413	MS2017_1411	BSEPE_0749	BGC33_12935	AZO1586R_1776	Gsub_0031	CRN91_07100	W908_03050	EYG05_03915	Tper_0835	H8D41_05875	12
76	SP60_00800	Rmag_0412	MS2017_1412	BSEPE_0748	BGC33_12930	AZO1586R_1777	Gsub_0030	CRN91_07105	W908_03045	EYG05_03920	Tper_0836	H8D41_05880	12
77	SP60_00810	Rmag_0411	MS2017_1413	BSEPE_0747	BGC33_12925	AZO1586R_1778	Gsub_0029	CRN91_07110	W908_03040	EYG05_03925	Tper_0837	H8D41_05890	12
79	SP60_00825	Rmag_0409	MS2017_1424	BSEPE_0976	BGC33_09945	AZO1586R_1782	Gsub_0192	CRN91_07120	W908_03030	EYG05_04225	Tper_0839	H8D41_06655	12
88	SP60_01030	Rmag_0388	MS2017_1461	BSEPE_0996	BGC33_14440	AZO1586R_1556	Gsub_0776	CRN91_07240	W908_02895	EYG05_00695	Tper_0719	H8D41_02900	12
90	SP60_01045	Rmag_0386	MS2017_1463	BSEPE_0998	BGC33_14430	AZO1586R_1554	Gsub_0774	CRN91_07250	W908_02885	EYG05_00685	Tper_0717	H8D41_02890	12
91	SP60_01050	Rmag_0385	MS2017_1464	BSEPE_0999	BGC33_14425	AZO1586R_1553	Gsub_0773	CRN91_07255	W908_02880	EYG05_00680	Tper_0716	H8D41_02885	12
92	SP60_01060	Rmag_0383	MS2017_1466	BSEPE_1001	BGC33_14415	AZO1586R_1551	Gsub_0771	CRN91_07265	W908_02870	EYG05_00670	Tper_0714	H8D41_02875	12
93	SP60_01065	Rmag_0382	MS2017_1467	BSEPE_1002	BGC33_14410	AZO1586R_1550	Gsub_0770	CRN91_07270	W908_02865	EYG05_00665	Tper_0713	H8D41_02870	12
95	SP60_01075	Rmag_0380	MS2017_1468	BSEPE_1003	BGC33_14405	AZO1586R_1549	Gsub_0768	CRN91_07290	W908_02845	EYG05_00660	Tper_0711	H8D41_02865	12
96	SP60_01080	Rmag_0379	MS2017_1469	BSEPE_1004	BGC33_14400	AZO1586R_1548	Gsub_1052	CRN91_07295	W908_02840	EYG05_00655	Tper_0710	H8D41_02860	12
97	SP60_01085	Rmag_0378	MS2017_1470	BSEPE_1005	BGC33_14395	AZO1586R_1547	Gsub_1053	CRN91_07300	W908_02835	EYG05_00650	Tper_0709	H8D41_02855	12
