	SUP05	R.magnifica	Bathy_complete_with_CRISPRannot	Bathysepcomplete_AP013042	Bathyther_MIQH01	Bathyazo_CAESAP02	Sponge_JYIN01	ThioNP1complete_CP023860	ThiosingularisPS1complete_CP006911	Thioautotrophicus_DQLA01	Thioperditus_PNQY01	Thiopontius_JACNGB01	Count
0	SP60_00005	Rmag_0520	MS2017_1093	BSEPE_0862	BGC33_15465	AZO1586R_502	Gsub_0109	CRN91_05955	W908_04350	EYG05_01595	Tper_1314	H8D41_05005	12
1	SP60_00015	Rmag_0517					Gsub_0303	CRN91_05945	W908_04360	EYG05_01605	Tper_1316	H8D41_05015	8
2	SP60_00025	Rmag_0515	MS2017_1096	BSEPE_0937	BGC33_15445	AZO1586R_505	Gsub_0305	CRN91_05935	W908_04370	EYG05_01615	Tper_1318	H8D41_05025	12
3	SP60_00030	Rmag_0514	MS2017_1097	BSEPE_0938	BGC33_15440	AZO1586R_506	Gsub_0306	CRN91_05930	W908_04375	EYG05_01620	Tper_1319	H8D41_05030	12
4	SP60_00035	Rmag_0513	MS2017_1098	BSEPE_0939	BGC33_15435	AZO1586R_507	Gsub_0307	CRN91_05925	W908_04380	EYG05_01625	Tper_1320	H8D41_05035	12
5	SP60_00040	Rmag_0512	MS2017_1099	BSEPE_0940	BGC33_15430	AZO1586R_508	Gsub_0308			EYG05_01630	Tper_1321	H8D41_06685	10
6	SP60_00045	Rmag_0511	MS2017_1100	BSEPE_0941	BGC33_15425	AZO1586R_509	Gsub_0309	CRN91_05915	W908_04390	EYG05_01635	Tper_1322	H8D41_06690	12
7	SP60_00050	Rmag_0510	MS2017_1101	BSEPE_0942	BGC33_15420	AZO1586R_510	Gsub_0310	CRN91_05910	W908_04395	EYG05_01705	Tper_1323	H8D41_06695	12
8	SP60_00070	Rmag_0509	MS2017_1102	BSEPE_0943	BGC33_15415	AZO1586R_511	Gsub_0311			EYG05_07085	Tper_0874	H8D41_00540	10
9	SP60_00130	Rmag_0507				AZO1586R_1682				EYG05_07185	Tper_0334	H8D41_00495	6
10	SP60_00135	Rmag_0506	MS2017_1167	BSEPE_0947	BGC33_09075	AZO1586R_1683	Gsub_1240	CRN91_06260	W908_04040	EYG05_07180	Tper_0335	H8D41_00490	12
11	SP60_00140	Rmag_0505	MS2017_1168	BSEPE_0948	BGC33_09070	AZO1586R_1684	Gsub_1241	CRN91_06265	W908_04035	EYG05_07175	Tper_0336	H8D41_00485	12
12	SP60_00145	Rmag_0504	MS2017_1169	BSEPE_0949	BGC33_09065	AZO1586R_1685	Gsub_1242	CRN91_06270	W908_04030	EYG05_07170	Tper_0337	H8D41_00480	12
13	SP60_00160	Rmag_0501	MS2017_1174	BSEPE_0954	BGC33_09045	AZO1586R_2313	Gsub_0300	CRN91_06280	W908_04020	EYG05_07155	Tper_0340	H8D41_00465	12
14	SP60_00180	Rmag_0498	MS2017_1177	BSEPE_0957	BGC33_09030	AZO1586R_2316	Gsub_1387	CRN91_06295	W908_04005	EYG05_04530	Tper_0343	H8D41_00445	12
15	SP60_00185	Rmag_0497	MS2017_1190	BSEPE_0958	BGC33_07930	AZO1586R_59	Gsub_1388			EYG05_04535	Tper_0344	H8D41_00440	10
16	SP60_00190	Rmag_0496	MS2017_1191	BSEPE_0959	BGC33_07935	AZO1586R_60	Gsub_1389			EYG05_04540		H8D41_00435	9
17	SP60_00195	Rmag_0495	MS2017_1192	BSEPE_0960	BGC33_07940	AZO1586R_2504	Gsub_1390	CRN91_06305	W908_03995	EYG05_04545	Tper_1441	H8D41_00430	12
18	SP60_00205	Rmag_0493	MS2017_1194	BSEPE_0962	BGC33_07950	AZO1586R_2502	Gsub_1392	CRN91_06315	W908_03985	EYG05_04555		H8D41_00420	11
19	SP60_00210	Rmag_0492	MS2017_1217	BSEPE_0965	BGC33_15235	AZO1586R_1591	Gsub_0428	CRN91_06320	W908_03980	EYG05_08040	Tper_0908	H8D41_03500	12
20	SP60_00215	Rmag_0491	MS2017_1218	BSEPE_0966	BGC33_15230	AZO1586R_1592	Gsub_0427	CRN91_06325	W908_03975	EYG05_08035	Tper_0907	H8D41_03505	12
21	SP60_00220	Rmag_0490	MS2017_1219	BSEPE_0967	BGC33_15220	AZO1586R_1594	Gsub_0957	CRN91_06330	W908_03970	EYG05_08030	Tper_0906	H8D41_03510	12
22	SP60_00225	Rmag_0489		BSEPE_0968		AZO1586R_1595	Gsub_0956	CRN91_06335	W908_03965	EYG05_08025	Tper_0905	H8D41_03515	10
23	SP60_00235	Rmag_0487	MS2017_1222	BSEPE_0970	BGC33_15205	AZO1586R_1597	Gsub_0954	CRN91_06340	W908_03960	EYG05_08010	Tper_0903	H8D41_03525	12
24	SP60_00245	Rmag_0486	MS2017_1238	BSEPE_0736	BGC33_15130	AZO1586R_2325	Gsub_0617			EYG05_08000	Tper_0901	H8D41_03535	10
25	SP60_00250	Rmag_0485	MS2017_1239	BSEPE_0735	BGC33_15125	AZO1586R_2326	Gsub_0618	CRN91_06405	W908_03890	EYG05_07995	Tper_0900	H8D41_03540	12
26	SP60_00255	Rmag_0484	MS2017_1240	BSEPE_0734	BGC33_15120	AZO1586R_2327	Gsub_0619	CRN91_06410	W908_03885	EYG05_01640	Tper_0899	H8D41_03545	12
27	SP60_00260	Rmag_0483	MS2017_1241	BSEPE_0733	BGC33_15115	AZO1586R_2328	Gsub_0620	CRN91_06415	W908_03880	EYG05_01645	Tper_0898	H8D41_03550	12
28	SP60_00265	Rmag_0482	MS2017_1242	BSEPE_0732	BGC33_15110	AZO1586R_2329	Gsub_0621	CRN91_06420	W908_03875	EYG05_01650	Tper_0897	H8D41_03555	12
29	SP60_00280	Rmag_0480	MS2017_1245	BSEPE_0729	BGC33_15095	AZO1586R_2333	Gsub_0623	CRN91_06435	W908_03860	EYG05_01665	Tper_0894	H8D41_03570	12
30	SP60_00295	Rmag_0477	MS2017_1248	BSEPE_0726	BGC33_15080	AZO1586R_2336	Gsub_0626	CRN91_06450	W908_03845		Tper_0891	H8D41_03585	11
31	SP60_00300	Rmag_0476	MS2017_1249	BSEPE_0725	BGC33_15075	AZO1586R_2337	Gsub_0627	CRN91_06455	W908_03840	EYG05_07530	Tper_0890	H8D41_03590	12
32	SP60_00305	Rmag_0475	MS2017_1250	BSEPE_0724	BGC33_15070	AZO1586R_2338	Gsub_0628			EYG05_07535	Tper_0889	H8D41_03595	10
33	SP60_00315	Rmag_0473	MS2017_0852	BSEPE_0551	BGC33_12175	AZO1586R_843	Gsub_1066			EYG05_07545	Tper_0887	H8D41_03605	10
34	SP60_00325	Rmag_0471	MS2017_0850	BSEPE_0544	BGC33_12185	AZO1586R_486	Gsub_0436	CRN91_06475	W908_03820	EYG05_07555	Tper_0885	H8D41_03615	12
35	SP60_00335	Rmag_0470	MS2017_0848	BSEPE_0542	BGC33_12195	AZO1586R_484	Gsub_0438	CRN91_06480	W908_03815	EYG05_07565	Tper_0883	H8D41_03625	12
36	SP60_00345	Rmag_0468	MS2017_0846	BSEPE_0540	BGC33_12205	AZO1586R_482	Gsub_0440			EYG05_07575	Tper_0881	H8D41_03635	10
37	SP60_00350	Rmag_0467	MS2017_0845	BSEPE_0539	BGC33_12210	AZO1586R_481				EYG05_07580	Tper_0880	H8D41_03640	9
38	SP60_00365	Rmag_0466	MS2017_0844	BSEPE_0538	BGC33_12220	AZO1586R_479	Gsub_0441	CRN91_06495	W908_03785	EYG05_07590	Tper_0879	H8D41_05720	12
39	SP60_00400	Rmag_0464	MS2017_1145	BSEPE_0532	BGC33_15250	AZO1586R_861	Gsub_0445	CRN91_06510	W908_03770	EYG05_07640	Tper_0870	H8D41_05760	12
40	SP60_00405	Rmag_0463	MS2017_1146	BSEPE_0531	BGC33_15245	AZO1586R_860	Gsub_0446			EYG05_07430	Tper_0869	H8D41_05765	10
41	SP60_00410	Rmag_0462	MS2017_1147	BSEPE_0530	BGC33_15240	AZO1586R_859	Gsub_0447	CRN91_06520		EYG05_07435	Tper_0868	H8D41_05770	11
42	SP60_00440	Rmag_0458	MS2017_0896	BSEPE_0828	BGC33_11605	AZO1586R_986	Gsub_0829	CRN91_06620	W908_03715	EYG05_07460	Tper_1150	H8D41_05795	12
43	SP60_00450	Rmag_0456	MS2017_0894	BSEPE_0826	BGC33_11615	AZO1586R_988	Gsub_0826	CRN91_06625	W908_03710	EYG05_06145		H8D41_05805	11
44	SP60_00465	Rmag_0454	MS2017_0892	BSEPE_0824	BGC33_11625	AZO1586R_1116	Gsub_0432	CRN91_06665	W908_03605	EYG05_06160	Tper_0923	H8D41_04745	12
45	SP60_00475	Rmag_0453	MS2017_0890	BSEPE_0822	BGC33_11635	AZO1586R_1114	Gsub_0430	CRN91_06670	W908_03600	EYG05_06170	Tper_0925	H8D41_04735	12
46	SP60_00480	Rmag_0452	MS2017_0889	BSEPE_0821	BGC33_11640	AZO1586R_1113	Gsub_0429	CRN91_06675	W908_03595	EYG05_06175	Tper_0926	H8D41_04730	12
47	SP60_00490	Rmag_0450	MS2017_0877	BSEPE_0570	BGC33_09375	AZO1586R_1111	Gsub_1424	CRN91_06685		EYG05_06185	Tper_0928	H8D41_04720	11
48	SP60_00495	Rmag_0449	MS2017_0876	BSEPE_0569	BGC33_09380	AZO1586R_1110	Gsub_1425	CRN91_06690	W908_03580	EYG05_06190	Tper_0929	H8D41_04715	12
49	SP60_00500	Rmag_0448	MS2017_0874	BSEPE_0568	BGC33_09385	AZO1586R_1109	Gsub_1426	CRN91_06695	W908_03575	EYG05_06195	Tper_0930	H8D41_04710	12
50	SP60_00505	Rmag_0447	MS2017_0873	BSEPE_0567	BGC33_09390	AZO1586R_1108	Gsub_1427	CRN91_06700	W908_03570	EYG05_06200	Tper_0931	H8D41_04705	12
51	SP60_00510	Rmag_0446	MS2017_0872	BSEPE_0566	BGC33_09395	AZO1586R_1107	Gsub_1428	CRN91_06705	W908_03565	EYG05_06205	Tper_0932	H8D41_04700	12
52	SP60_00515	Rmag_0445	MS2017_0871	BSEPE_0565	BGC33_09400	AZO1586R_1106	Gsub_1429	CRN91_06710		EYG05_06210	Tper_0933	H8D41_04695	11
