	GC	GC1	GC2	GC3	CDC	P(CDC)	coregene_id	ortho_id	locus_tag	ispseudo	Genome
0	0.311111	0.41025600000000007	0.292308	0.230769	0.14491800000000002	0.0006	Rmag_0101	510	Vgig2_peg_1	0	V.gigas2
1	0.30136999999999997	0.305936	0.37899499999999997	0.219178	0.156023	0.0	Rmag_0767	725	Vgig2_peg_100	0	V.gigas2
2	0.307752	0.39767399999999997	0.32093	0.204651	0.0683989	0.004	Rmag_0766	726	Vgig2_peg_101	0	V.gigas2
3	0.319126	0.4	0.321311	0.236066	0.159669	0.0	Rmag_0765	727	Vgig2_peg_102	0	V.gigas2
4	0.30392199999999997	0.41176499999999994	0.333333	0.166667	0.187291	0.0904	Rmag_0763	729	Vgig2_peg_103	0	V.gigas2
5	0.310078	0.30232600000000004	0.372093	0.255814	0.279617	0.5834		2008	Vgig2_peg_104	1	V.gigas2
6	0.288288	0.432432	0.27026999999999995	0.162162	0.264971	0.713		1361	Vgig2_peg_105	1	V.gigas2
7	0.290598	0.333333	0.25640999999999997	0.282051	0.152186	0.2706		1278	Vgig2_peg_106	0	V.gigas2
8	0.295455	0.340909	0.25	0.295455	0.157392	0.2116		2009	Vgig2_peg_107	1	V.gigas2
9	0.332196	0.44709899999999997	0.348123	0.20136500000000002	0.09533839999999999	0.01	Rmag_0759	732	Vgig2_peg_108	0	V.gigas2
10	0.30617300000000003	0.4	0.333333	0.185185	0.139727	0.0	Rmag_0758	733	Vgig2_peg_109	0	V.gigas2
11	0.322284	0.425414	0.28176799999999996	0.259669	0.14097200000000001	0.0134	Rmag_0111	520	Vgig2_peg_11	0	V.gigas2
12	0.326226	0.43283599999999994	0.311301	0.234542	0.087289	0.0	Rmag_0757	734	Vgig2_peg_110	0	V.gigas2
13	0.305556	0.403846	0.339744	0.173077	0.145791	0.0138	Rmag_0756	735	Vgig2_peg_111	0	V.gigas2
14	0.285124	0.367769	0.297521	0.190083	0.0948196	0.0166	Rmag_0755	736	Vgig2_peg_112	0	V.gigas2
15	0.20339000000000002	0.254237	0.186441	0.169492	0.148749	0.5628		737	Vgig2_peg_113	0	V.gigas2
16	0.270833	0.265625	0.3125	0.234375	0.193696	0.3032		1027	Vgig2_peg_114	0	V.gigas2
17	0.333333	0.4125	0.34375	0.24375	0.169756	0.0072		741	Vgig2_peg_115	0	V.gigas2
18	0.333333	0.406977	0.383721	0.209302	0.276588	0.0018	Rmag_0749	742	Vgig2_peg_116	0	V.gigas2
19	0.29885100000000003	0.369458	0.300493	0.22660100000000002	0.164272	0.0	Rmag_0748	743	Vgig2_peg_117	0	V.gigas2
20	0.318641	0.432507	0.347107	0.176309	0.11656099999999998	0.0	Rmag_0747	744	Vgig2_peg_118	0	V.gigas2
21	0.29518099999999997	0.40963900000000003	0.222892	0.253012	0.12164900000000001	0.0506	Rmag_0745	746	Vgig2_peg_119	0	V.gigas2
22	0.342183	0.48082600000000003	0.371681	0.174041	0.09225739999999999	0.0004	Rmag_0112	521	Vgig2_peg_12	0	V.gigas2
23	0.289362	0.39574499999999996	0.268085	0.204255	0.06737689999999999	0.5634	Rmag_0744	747	Vgig2_peg_120	0	V.gigas2
24	0.321185	0.425968	0.330296	0.207289	0.0829602	0.0002	Rmag_0743	748	Vgig2_peg_121	0	V.gigas2
25	0.28571399999999997	0.367347	0.244898	0.244898	0.20604699999999998	0.7946		1964	Vgig2_peg_122	0	V.gigas2
26	0.303797	0.34177199999999996	0.303797	0.265823	0.121377	0.1792		750	Vgig2_peg_123	0	V.gigas2
27	0.320151	0.389831	0.338983	0.231638	0.113864	0.182	Rmag_0741	751	Vgig2_peg_124	0	V.gigas2
28	0.345277	0.488599	0.348534	0.198697	0.128923	0.0	Rmag_0740	752	Vgig2_peg_125	0	V.gigas2
29	0.368103	0.478458	0.342404	0.283447	0.110003	0.0	Rmag_0739	753	Vgig2_peg_126	0	V.gigas2
30	0.366048	0.525199	0.387268	0.185676	0.100225	0.0	Rmag_0738	754	Vgig2_peg_127	0	V.gigas2
31	0.3273	0.41176499999999994	0.357466	0.21266999999999997	0.1338	0.0018	Rmag_0737	755	Vgig2_peg_128	0	V.gigas2
32	0.328283	0.43434300000000003	0.323232	0.227273	0.160976	0.0004	Rmag_0736	756	Vgig2_peg_129	0	V.gigas2
33	0.32263400000000003	0.42963	0.296296	0.241975	0.08023739999999999	0.001	Rmag_0113	522	Vgig2_peg_13	0	V.gigas2
34	0.306165	0.413793	0.34169299999999997	0.163009	0.12336300000000001	0.0		1130	Vgig2_peg_130	0	V.gigas2
35	0.25396799999999997	0.327381	0.255952	0.178571	0.09790239999999999	0.1836	Rmag_0734	1028	Vgig2_peg_131	0	V.gigas2
36	0.348148	0.525926	0.274074	0.244444	0.138462	0.19899999999999998	Rmag_0733	757	Vgig2_peg_132	0	V.gigas2
37	0.32209699999999997	0.40824	0.348315	0.209738	0.134606	0.0	Rmag_0732	758	Vgig2_peg_133	0	V.gigas2
38	0.34674299999999997	0.47988500000000006	0.353448	0.20689699999999997	0.122796	0.0	Rmag_0731	759	Vgig2_peg_134	0	V.gigas2
39	0.309295	0.447115	0.286058	0.194712	0.118442	0.0	Rmag_0730	760	Vgig2_peg_135	0	V.gigas2
40	0.34897399999999995	0.49853400000000003	0.351906	0.196481	0.17102699999999998	0.0		762	Vgig2_peg_136	0	V.gigas2
41	0.3125	0.397321	0.334821	0.205357	0.124802	0.0028		763	Vgig2_peg_137	0	V.gigas2
42	0.328859	0.503356	0.261745	0.221477	0.17282	0.002		1029	Vgig2_peg_138	0	V.gigas2
43	0.308244	0.483871	0.23655900000000002	0.204301	0.140758	0.0		764	Vgig2_peg_139	1	V.gigas2
44	0.316239	0.384615	0.282051	0.282051	0.35901500000000003	0.1712		1892	Vgig2_peg_14	1	V.gigas2
45	0.298246	0.330827	0.27819499999999997	0.28571399999999997	0.184659	0.0126		765	Vgig2_peg_140	0	V.gigas2
46	0.330871	0.435746	0.323486	0.23338299999999998	0.088009	0.0	Rmag_0721	766	Vgig2_peg_141	0	V.gigas2
47	0.24702399999999997	0.27678600000000003	0.267857	0.196429	0.136518	0.1534	Rmag_0719	768	Vgig2_peg_142	0	V.gigas2
48	0.277512	0.344498	0.267943	0.220096	0.101763	0.0354		1030	Vgig2_peg_143	0	V.gigas2
49	0.262346	0.342593	0.24074099999999998	0.203704	0.10288299999999999	0.9428	Rmag_0717	769	Vgig2_peg_144	0	V.gigas2
50	0.308123	0.462185	0.294118	0.168067	0.141742	0.1992		770	Vgig2_peg_145	0	V.gigas2
51	0.317502	0.459103	0.319261	0.17414200000000002	0.0929308	0.0004	Rmag_0714	772	Vgig2_peg_146	0	V.gigas2
52	0.334866	0.457471	0.36091999999999996	0.18620699999999998	0.126797	0.0		1657	Vgig2_peg_147	0	V.gigas2
53	0.33255999999999997	0.436195	0.37355	0.187935	0.08531230000000001	0.0		1937	Vgig2_peg_148	0	V.gigas2
54	0.289583	0.390625	0.26875	0.209375	0.0836903	0.002		1936	Vgig2_peg_149	0	V.gigas2
55	0.31694	0.409836	0.37704899999999997	0.163934	0.232923	0.2766		1893	Vgig2_peg_15	1	V.gigas2
56	0.28	0.346667	0.26	0.23333299999999998	0.111738	0.0004		1752	Vgig2_peg_150	0	V.gigas2
57	0.32860500000000004	0.453901	0.333333	0.19858199999999998	0.0839858	0.0		1249	Vgig2_peg_151	0	V.gigas2
58	0.320988	0.44444399999999995	0.310185	0.208333	0.14206400000000002	0.0002		1031	Vgig2_peg_152	0	V.gigas2
59	0.331367	0.415929	0.383481	0.19469	0.100102	0.0006		1032	Vgig2_peg_153	0	V.gigas2
60	0.34622800000000004	0.437137	0.390716	0.21083200000000002	0.150554	0.0		1033	Vgig2_peg_154	0	V.gigas2
61	0.330041	0.417284	0.355556	0.217284	0.08829680000000001	0.0	Rmag_0704	775	Vgig2_peg_155	0	V.gigas2
62	0.277778	0.416667	0.266667	0.15	0.249119	0.1084		1244	Vgig2_peg_156	1	V.gigas2
63	0.386957	0.541304	0.41956499999999997	0.2	0.156497	0.0		1035	Vgig2_peg_157	0	V.gigas2
64	0.350682	0.483271	0.36803	0.200743	0.13208499999999998	0.0002	Rmag_0700	776	Vgig2_peg_158	0	V.gigas2
65	0.31328	0.463904	0.287433	0.188503	0.10813299999999999	0.0		1036	Vgig2_peg_159	0	V.gigas2
